DIN,FullName,GenericName,BrandName,Dosage,DosageForm
237760,DM/EPHEDRINE/ACETAMIN/DOXYLAM  ST,DM/EPHEDRINE/ACETAMIN/DOXYLAM  ST,Nyquil,,SYRUP
238600,COAL TAR 2.5 % SS,COAL TAR,Med-X-D, 2.5 % SS,SHAMPOO
238694,SALICYLIC ACID/ZINC OXIDE/STAR 2%-24%-24% OA,SALICYLIC ACID/ZINC OXIDE/STAR,Lassars Paste, 2%-24%-24% OA,OINT. (G)
239712,"VITAMIN B COMPOUND, STRONG  HV","VITAMIN B COMPOUND, STRONG  HV",Vitamin B Compound Forte,,VIAL
240400,CALCIUM/MAG/YEAST/PANTOT AC  TA,CALCIUM/MAG/YEAST/PANTOT AC  TA,Calcium Pantothenate Plus Yeast,,TABLET
240419,CALCIUM/MAGNESIUM/YEAST/VIT B1  TA,CALCIUM/MAGNESIUM/YEAST/VIT B1  TA,Vitamin B1,,TABLET
240427,CALCIUM/MAGNESIUM/YEAST/VIT B2  TA,CALCIUM/MAGNESIUM/YEAST/VIT B2  TA,Vitamin B2,,TABLET
240435,CALCIUM/MAGNESIUM/YEAST/VIT B6  TA,CALCIUM/MAGNESIUM/YEAST/VIT B6  TA,Vitamin B6,,TABLET
240451,CAPSAICIN/METHYL SAL/TURPENTIN  OA,CAPSAICIN/METHYL SAL/TURPENTIN  OA,Hot Stuff,,OINT. (G)
240486,METHYL SALICYLATE/CAMPHOR  SL,METHYL SALICYLATE/CAMPHOR  SL,Athletic Liniment,,LIQUID
240494,CAPSAI/ME-SALICYLATE/MEN/TURP  OA,CAPSAI/ME-SALICYLATE/MEN/TURP  OA,Half And Half Balm,,OINT. (G)
240540,UNDECYLENIC AC/ZINC UNDECYLENA 22 % OA,UNDECYLENIC AC/ZINC UNDECYLENA,M F O (Mueller Foot Ointment), 22 % OA,OINT. (G)
240575,ETHYL CHLORIDE/BENZOIN  AS,ETHYL CHLORIDE/BENZOIN  AS,Tuffner Clear Spray,,SPRAY
240605,ZINC UNDECYLENATE/TALC  PA,ZINC UNDECYLENATE/TALC  PA,Foot And Body Powder,,POWDER
240656,UNDECYLENIC ACID/TALC  AQ,UNDECYLENIC ACID/TALC  AQ,Foot Spray With Powder,,SPRAY
240664,UNDECYLENIC ACID 0.1 % AB,UNDECYLENIC ACID,Fungal Foot Spray, 0.1 % AB,AEROSOL
240672,TANNIC ACID/TRICLOSAN  AS,TANNIC ACID/TRICLOSAN  AS,Germa Tan,,SPRAY
240931,"MULTIVITAMIN,THER AND MINERALS  CA","MULTIVITAMIN,THER AND MINERALS  CA",Multivitamins W Minerals Extra Strength,,CAPSULE
241458,ALLANTOIN/CHLOROXYLENOL  KA,ALLANTOIN/CHLOROXYLENOL  KA,Sbs,,CREAM (G)
241547,VITAMIN E MIXED/THIAMINE  CA,VITAMIN E MIXED/THIAMINE  CA,Nutrol E,,CAPSULE
241555,INOSI/CAL/NIACIN/VIT B6/BETAIN  CA,INOSI/CAL/NIACIN/VIT B6/BETAIN  CA,Formule,,CAPSULE
241571,CHOLINE BIT/POTASS/CA/BETA/RNA  CA,CHOLINE BIT/POTASS/CA/BETA/RNA  CA,Formule,,CAPSULE
241601,RESORCINOL/SULFUR 8 % KA,RESORCINOL/SULFUR,Acnomel Skin Tone, 8 % KA,CREAM (G)
241628,SALICYLIC ACID 40 % EJ,SALICYLIC ACID,Scholl Salicylic Acid Plaster, 40 % EJ,PLASTER
241644,BENZOCAINE/BENZOIN/MYRRH  SL,BENZOCAINE/BENZOIN/MYRRH  SL,Kanker Off,,LIQUID
241792,"FE,B-12,I.F./VIT BCOMP,C  TA","FE,B-12,I.F./VIT BCOMP,C  TA",Ferritrinsic,,TABLET
241938,VITAMIN B COMPLEX/YEAST  TA,VITAMIN B COMPLEX/YEAST  TA,Super Yeastlets,,TABLET
242217,DEXTROMETHORPHAN HBR/PPA/CPM  ST,DEXTROMETHORPHAN HBR/PPA/CPM  ST,Ornade Dm,,SYRUP
242241,VITAMIN A/ASCORBIC ACID/FENUGR  TA,VITAMIN A/ASCORBIC ACID/FENUGR  TA,Ac Plus Fenugreek,,TABLET
242713,DIGOXIN 0.05 MG/ML SJ,DIGOXIN,Lanoxin Elx, 0.05 MG/ML SJ,SOLUTION
242748,MULTIVITAMIN WITH IRON  SL,MULTIVITAMIN WITH IRON  SL,Gemalt,,LIQUID
242799,IODINATED CASEIN 30 MG TA,IODINATED CASEIN,Iodaminol, 30 MG TA,TABLET
242896,ALLANTOIN  SK,ALLANTOIN  SK,Velvaderm Hand And Body Lotion,,LOTION
243000,SELENIUM SULFIDE 2.5 % SK,SELENIUM SULFIDE,Selsun, 2.5 % SK,LOTION
243116,ISOSORBIDE DINITRATE 5 MG TU,ISOSORBIDE DINITRATE,Isordil Sublingual, 5 MG TU,TAB SUBL
243205,NEOMYCIN/BACITRACIN/POLYMYXINB 3.5-400-5K OA,NEOMYCIN/BACITRACIN/POLYMYXINB,Neosporin Topical Antibiotic Ointment, 3.5-400-5K OA,OINT. (G)
243213,NEOMYCIN/BACITRACIN/POLYMYXINB  PA,NEOMYCIN/BACITRACIN/POLYMYXINB  PA,Neosporin Antibiotic Powder,,POWDER
243515,ATROPINE SULFATE 0.1 MG/ML HQ,ATROPINE SULFATE,Atropine Sulfate, 0.1 MG/ML HQ,SYRINGE
243523,ATROPINE SULFATE 0.8 MG/ML HQ,ATROPINE SULFATE,Atropine Sulfate, 0.8 MG/ML HQ,SYRINGE
243558,DEXTROSE 25 % IN WATER 25 % HQ,DEXTROSE ,Dextrose, 25 % IN WATER 25 % HQ,SYRINGE
243566,DEXTROSE 50 % IN WATER 50 % HQ,DEXTROSE ,Dextrose, 50 % IN WATER 50 % HQ,SYRINGE
243604,EPINEPHRINE 0.1 MG/ML HQ,EPINEPHRINE,Epinephrine, 0.1 MG/ML HQ,SYRINGE
243612,ISOPROTERENOL HCL 0.2 MG/ML HQ,ISOPROTERENOL HCL,Isoproterenol Hcl, 0.2 MG/ML HQ,SYRINGE
243655,LIDOCAINE HCL/PF 10 MG/ML HQ,LIDOCAINE HCL/PF,Lidocaine Hcl, 10 MG/ML HQ,SYRINGE
243671,LIDOCAINE HCL/PF 20 MG/ML HV,LIDOCAINE HCL/PF,Lidocaine Hcl, 20 MG/ML HV,VIAL
243736,LIDOCAINE HCL/EPINEPHRINE 1%-1:100K HV,LIDOCAINE HCL/EPINEPHRINE,Lidocaine Hcl , 1%-1:100K HV,VIAL
243779,LIDOCAINE HCL 2 % JA,LIDOCAINE HCL,Lidocaine Hcl Jelly, 2 % JA,JELLY (G)
243809,MANNITOL 25 % HQ,MANNITOL,Mannitol, 25 % HQ,SYRINGE
243876,PHYTONADIONE (VIT K1) 1MG/0.5ML HQ,PHYTONADIONE (VIT K1),Phytonadione, 1MG/0.5ML HQ,SYRINGE
243914,SODIUM BICARBONATE 5MMOL/10ML HQ,SODIUM BICARBONATE,Sodium Bicarbonate, 5MMOL/10ML HQ,SYRINGE
243930,SODIUM BICARBONATE 50 MMOL/50 HQ,SODIUM BICARBONATE,Sodium Bicarbonate, 50 MMOL/50 HQ,SYRINGE
243957,SODIUM CHLORIDE 0.9 % (FLUSH) 0.9 % HQ,SODIUM CHLORIDE ,Sodium Chloride, 0.9 % (FLUSH) 0.9 % HQ,SYRINGE
244015,CALCIUM CHLORIDE 100 MG/ML HQ,CALCIUM CHLORIDE,Calcium Chloride, 100 MG/ML HQ,SYRINGE
244287,TROMETHAMINE 36 MG/ML HM,TROMETHAMINE,Tham Solution, 36 MG/ML HM,IV SOLN
244384,ERYTHROMYCIN ESTOLATE 500 MG TA,ERYTHROMYCIN ESTOLATE,Ilosone, 500 MG TA,TABLET
244392,CEPHALEXIN 500 MG TA,CEPHALEXIN,Keflex, 500 MG TA,TABLET
244406,CEPHALOTHIN SODIUM 2 G HS,CEPHALOTHIN SODIUM,Keflin Neutral, 2 G HS,VIAL
244619,PECT/VIT C/RUT/BIOFLAV/B-LAINS  TA,PECT/VIT C/RUT/BIOFLAV/B-LAINS  TA,Vitamin C,,TABLET
244635,ERYTHROMYCIN BASE 250 MG TA,ERYTHROMYCIN BASE,Erythromid, 250 MG TA,TABLET
244988,DEXTROSE 70 % IN WATER 70 % HM,DEXTROSE ,Dextroseection Usp, 70 % IN WATER 70 % HM,IV SOLN
245097,CHLORHEXIDINE GLUCONATE 4 % SL,CHLORHEXIDINE GLUCONATE,Hibitane Skin Cleanser, 4 % SL,LIQUID
245240,FLUPHENAZINE HCL 2.5 MG/5ML SE,FLUPHENAZINE HCL,Moditen Hcl Elx, 2.5 MG/5ML SE,ELIXIR
245267,NEOMYCIN/GRAMICIDIN/NYST/TRIAM 2.5-0.25/G OA,NEOMYCIN/GRAMICIDIN/NYST/TRIAM,Kenacomb Ont, 2.5-0.25/G OA,OINT. (G)
245453,PHENYTOIN SODIUM 50 MG/ML HV,PHENYTOIN SODIUM,Dilantin, 50 MG/ML HV,VIAL
246026,DOXYCYCLINE HYCLATE 100 MG HS,DOXYCYCLINE HYCLATE,Vibramycin, 100 MG HS,VIAL
246034,SAL ACID/TRICHLOROACETIC ACID 6-1.9% SL,SAL ACID/TRICHLOROACETIC ACID,Pharma Wart Remover, 6-1.9% SL,LIQUID
246042,SILICONES 20 % OA,SILICONES,Protectoderm, 20 % OA,OINT. (G)
246948,COAL TAR 10 % SS,COAL TAR,Ultraclear Medicated Shampoo, 10 % SS,SHAMPOO
247359,PENICILLIN V BENZATHINE 180 MG/5ML SC,PENICILLIN V BENZATHINE,Pen Vee Sus, 180 MG/5ML SC,ORAL SUSP
247367,NAFCILLIN SODIUM 500 MG HS,NAFCILLIN SODIUM,Unipen, 500 MG HS,VIAL
247669,SALICYLIC ACID/LACTIC ACID 10 %-4 % SL,SALICYLIC ACID/LACTIC ACID,Ezelift Corn Callus Remover, 10 %-4 % SL,LIQUID
247677,BENZOCAINE/ALLANTOIN 20 % JG,BENZOCAINE/ALLANTOIN,Medicaine For Lips Gums Mouth, 20 % JG,GEL (GRAM)
247685,THYMOL/MENTHOL/CAMPHOR/EUCALYP  SL,THYMOL/MENTHOL/CAMPHOR/EUCALYP  SL,Happy Foot,,LIQUID
247855,FLUOROMETHOLONE 0.1 % SN,FLUOROMETHOLONE,Fml, 0.1 % SN,DROPS SUSP
248053,AMINOBENZOIC ACID  EH,AMINOBENZOIC ACID  EH,Rv Paba Stick,,STICK (EA)
248207,SENNA/HERBAL DRUGS  PA,SENNA/HERBAL DRUGS  PA,Richters Instant,,POWDER
248746,CALCIUM LACTATE/LIVER EXTRACT  TA,CALCIUM LACTATE/LIVER EXTRACT  TA,Antipyrexinex,,TABLET
248770,VITAMIN A PALMITATE 10000 UNIT CA,VITAMIN A PALMITATE,Vitamin A, 10000 UNIT CA,CAPSULE
249173,MULTIVITAMIN  CA,MULTIVITAMIN  CA,Revit Plus,,CAPSULE
249580,QUINIDINE BISULFATE 250 MG TS,QUINIDINE BISULFATE,Biquin Durules, 250 MG TS,TABLET ER
249599,LIDOCAINE HCL 200 MG/ML HQ,LIDOCAINE HCL,Xylocard One Gm Additive Unit, 200 MG/ML HQ,SYRINGE
249866,COAL TAR/JUNIPER TAR/PINE TAR  SS,COAL TAR/JUNIPER TAR/PINE TAR  SS,Polytar,,SHAMPOO
249920,ORCIPRENALINE SULFATE 10 MG/5 ML ST,ORCIPRENALINE SULFATE,Alupent Syr, 10 MG/5 ML ST,SYRUP
249971,CHLORPHENIRAMINE/PSEUDOEPHED 2-30MG/5ML SL,CHLORPHENIRAMINE/PSEUDOEPHED,Vasofrinic Sirop, 2-30MG/5ML SL,LIQUID
249998,GUAIFENESIN/DM/P-EPHED/CHLORPH 100-10MG/5 ST,GUAIFENESIN/DM/P-EPHED/CHLORPH,Vasofrinic Plus Sirop, 100-10MG/5 ST,SYRUP
250015,DEXTROMETHORPHAN HBR 10 MG/5 ML ST,DEXTROMETHORPHAN HBR,Sedatuss Sirop, 10 MG/5 ML ST,SYRUP
250430,MULTIVIT WITH CALCIUM + IRON  TA,MULTIVIT WITH CALCIUM + IRON  TA,Ferrical,,TABLET
250708,FENNEL OIL/HONEY  ST,FENNEL OIL/HONEY  ST,Salus Honey W Fennel,,SYRUP
250724,NYSTATIN/METRONIDAZOLE  TA,NYSTATIN/METRONIDAZOLE  TA,Flagystatin,,TABLET
251062,MINERAL OIL  JC,MINERAL OIL  JC,Lubafax Jelly,,GEL (ML)
251372,PINE TAR/TRIBROMSALAN  ED,PINE TAR/TRIBROMSALAN  ED,Polytar Soap,,MED. SOAP
251631,PENICILLIN V POTASSIUM 250 MG/5ML PI,PENICILLIN V POTASSIUM,Nadopen V, 250 MG/5ML PI,SOLN RECON
251704,POVIDONE-IODINE 4 % SS,POVIDONE-IODINE,Betadine Shampoo For Dry Hair, 4 % SS,SHAMPOO
252115,MULTIVITAMIN WITH MINERALS  TA,MULTIVITAMIN WITH MINERALS  TA,2b+ B Vitamins And Multivitamin,,TABLET
252131,BIOFLAV/MULTIVIT-IRON/MINERALS  TA,BIOFLAV/MULTIVIT-IRON/MINERALS  TA,2c+ Vitamin C Multivitamin,,TABLET
252204,VALERIAN/PASSION FLWR XT/CRAMP 75-50-5 MG TA,VALERIAN/PASSION FLWR XT/CRAMP,Neuro Crine, 75-50-5 MG TA,TABLET
252239,RACEMETHIONINE/INOSITOL/CHOL 333 MG TA,RACEMETHIONINE/INOSITOL/CHOL,Lipotrope, 333 MG TA,TABLET
252328,"MULTIVIT WITH IRON,MINERALS  TA","MULTIVIT WITH IRON,MINERALS  TA",Vitogen Geriatric,,TABLET
252344,HEXACHLOROPHENE  YV,HEXACHLOROPHENE  YV,Preop Sponge Hexachlorophene,,SPONGE
252395,M-PREDNISOLONE/ALUMINUM/SULFUR 2.5-100/ML SK,M-PREDNISOLONE/ALUMINUM/SULFUR,Medrol Acne Lotion, 2.5-100/ML SK,LOTION
252409,IBUPROFEN 200 MG TA,IBUPROFEN,Motrin, 200 MG TA,TABLET
252484,ATROPINE SULFATE 1 % OA,ATROPINE SULFATE,Atropine Ont, 1 % OA,OINT. (G)
252506,CYCLOPENTOLATE HCL 1 % SO,CYCLOPENTOLATE HCL,Cyclogyl, 1 % SO,DROPS
252570,OFLOXACIN 0.3 % SO,OFLOXACIN,Pms-Ofloxacin, 0.3 % SO,DROPS
252654,METHOXSALEN 10 MG NU,METHOXSALEN,Oxsoralen-Ultra, 10 MG NU,CAP LQ RAP
253057,DIMETHICONE 20 % KA,DIMETHICONE,Barriere, 20 % KA,CREAM (G)
253065,CHLORPHENESIN 10 MG KA,CHLORPHENESIN,Mycil Cream, 10 MG KA,CREAM (G)
253073,CHLORPHENESIN 10 MG PA,CHLORPHENESIN,Mycil Powder, 10 MG PA,POWDER
253146,CEPHALEXIN 500 MG CA,CEPHALEXIN,Ceporex, 500 MG CA,CAPSULE
253154,CEPHALEXIN 250 MG CA,CEPHALEXIN,Ceporex, 250 MG CA,CAPSULE
253952,TETRACOSACTIDE ZINC HYDROXIDE 1 MG/ML HH,TETRACOSACTIDE ZINC HYDROXIDE,Synacthen Depot, 1 MG/ML HH,AMPUL
254134,ORCIPRENALINE SULFATE 750 MCG AH,ORCIPRENALINE SULFATE,Alupent Aer, 750 MCG AH,AER W/ADAP
254223,PHENOXYETHANOL 1.7 % PL,PHENOXYETHANOL,Dermasept Skin Cleanser, 1.7 % PL,CLEANSER
254274,BENZOIN COMPOUND  AS,BENZOIN COMPOUND  AS,Benzoin Compound Tct Aerosol,,SPRAY
254339,POVIDONE-IODINE 10 % OA,POVIDONE-IODINE,Betadine Ont, 10 % OA,OINT. (G)
254363,POVIDONE-IODINE 1 % OA,POVIDONE-IODINE,Proviodine Onguent, 1 % OA,OINT. (G)
254533,CALCIUM/MAGNESIUM  PA,CALCIUM/MAGNESIUM  PA,Dolomite,,POWDER
254908,CRESYL ACE/CAMP/P-CHLOROPHENOL  SL,CRESYL ACE/CAMP/P-CHLOROPHENOL  SL,Cmp Solution,,LIQUID
254916,MENOTROPINS 75 UNIT HR,MENOTROPINS,Pergonal, 75 UNIT HR,AMPUL
255033,VIT B6/THIAMINE 125-250 MG TA,VIT B6/THIAMINE,Fortior, 125-250 MG TA,TABLET
255149,TRIFLUOPERAZINE HCL 20 MG TA,TRIFLUOPERAZINE HCL,Novo-Flurazine, 20 MG TA,TABLET
255432,DEBRISOQUINE SULFATE 10 MG TA,DEBRISOQUINE SULFATE,Declinax, 10 MG TA,TABLET
255467,UNDECYLENIC ACID/TRICLOSAN  SL,UNDECYLENIC ACID/TRICLOSAN  SL,Foot Bath Solution,,LIQUID
255475,TRICLOSAN 0.5 % SL,TRICLOSAN,Isohex, 0.5 % SL,LIQUID
255505,EUCALYPTUS/MENTHOL/CAMPHOR  AS,EUCALYPTUS/MENTHOL/CAMPHOR  AS,Inhaling Spray,,SPRAY
256005,VALERIAN  PB,VALERIAN  PB,Flora Herbtea Valerian Roots,,LEAVES
256153,GENTIAN/STJ WRT/DAN/FEN/AR/H36  SL,GENTIAN/STJ WRT/DAN/FEN/AR/H36  SL,Gallexier,,LIQUID
256862,ASCORBIC ACID 1000 MG TA,ASCORBIC ACID,Vitamin C, 1000 MG TA,TABLET
256951,MULTIVITAMIN WITH MINERALS  CA,MULTIVITAMIN WITH MINERALS  CA,Vital,,CAPSULE
257036,ETH SAL/ME-NICOT/ME-SAL/GLY SA  AB,ETH SAL/ME-NICOT/ME-SAL/GLY SA  AB,Ultraplast Analgesic Spray,,AEROSOL
257435,MENTHOL  TL,MENTHOL  TL,Meloids,,LOZENGE
257532,BENZOIN 25 % AS,BENZOIN,Benzoinspray, 25 % AS,SPRAY
258342,"FOLIC ACID/MULTIVIT,IRON,MINER 2.5 MG CA","FOLIC ACID/MULTIVIT,IRON,MINER",Intrafer Plus, 2.5 MG CA,CAPSULE
258377,PHENYLBUTAZONE 100 MG TE,PHENYLBUTAZONE,Intrabutazone Ect, 100 MG TE,TABLET DR
258482,BLEOMYCIN SULFATE 15 UNIT HS,BLEOMYCIN SULFATE,Blenoxane, 15 UNIT HS,VIAL
259152,DIALYSIS SOLUTIONS 486MOSM/L HY,DIALYSIS SOLUTIONS,Dianeal , 486MOSM/L HY,IP SOLN
259187,CYCLANDELATE 400 MG TA,CYCLANDELATE,Cyclospasmol, 400 MG TA,TABLET
259489,MESORIDAZINE BESYLATE 25 MG/ML SY,MESORIDAZINE BESYLATE,Serentil, 25 MG/ML SY,ORAL CONC
259497,CALCIUM CARBONATE/CAL GLUCOHEP 1.75-2.327 TF,CALCIUM CARBONATE/CAL GLUCOHEP,Gramcal Evt, 1.75-2.327 TF,TABLET EFF
259527,CLONIDINE HCL 0.1 MG TA,CLONIDINE HCL,Catapres, 0.1 MG TA,TABLET
259802,ACETYLSALICYLIC ACID/CAFFEINE 500MG-30MG TA,ACETYLSALICYLIC ACID/CAFFEINE,217 Strong, 500MG-30MG TA,TABLET
260428,METHYLPREDNISOLONE/LIDOCAINE 40-10MG/ML HV,METHYLPREDNISOLONE/LIDOCAINE,Depo-Medrol With Lidocaine, 40-10MG/ML HV,VIAL
260436,CLINDAMYCIN PHOSPHATE 150 MG/ML HV,CLINDAMYCIN PHOSPHATE,Dalacin C Phosphate, 150 MG/ML HV,VIAL
260568,FLUMETHASONE/SALICYLIC ACID 0.02 %-3 % OA,FLUMETHASONE/SALICYLIC ACID,Locasalen, 0.02 %-3 % OA,OINT. (G)
261181,THEOPHYLLINE/POTASSIUM IODIDE  SE,THEOPHYLLINE/POTASSIUM IODIDE  SE,Theophylline Ki Elx,,ELIXIR
261203,THEOPHYLLINE ANHYDROUS 80 MG/15ML SL,THEOPHYLLINE ANHYDROUS,Theophylline, 80 MG/15ML SL,LIQUID
261211,CODEINE PHOSPHATE 10 MG/ML SL,CODEINE PHOSPHATE,Paveral, 10 MG/ML SL,LIQUID
261238,CROMOLYN SODIUM 20 MG CA,CROMOLYN SODIUM,Intal Spincaps, 20 MG CA,CAPSULE
261246,PROGESTERONE 50 MG/ML HV,PROGESTERONE,Progesterone Oil, 50 MG/ML HV,VIAL
261289,ISONIAZID  PA,ISONIAZID  PA,Isotamine,,POWDER
261335,ELECTROLYTE-75 SOLUTION/D5W 5 % HM,ELECTROLYTE-75 SOLUTION/D5W,Dextrose, 5 % HM,IV SOLN
261343,DEXTRAN 75 IN 0.9 % NACL 6 %-0.9 % HM,DEXTRAN 75 IN ,Gentran 75 , 75 IN 0.9 % NACL 6 %-0.9 % HM,IV SOLN
261432,PROPOXYPHENE NAPSYLATE 100 MG CA,PROPOXYPHENE NAPSYLATE,Darvon-N, 100 MG CA,CAPSULE
261440,PROPOXYPHENE NAPSYLATE/ASA 100-325MG TA,PROPOXYPHENE NAPSYLATE/ASA,Darvon N W Asa Pulvule, 100-325MG TA,TABLET
261459,PROPOXYPHENE NAP/ASA/CAFFEINE 100-375-30 CA,PROPOXYPHENE NAP/ASA/CAFFEINE,Darvon N Compound Pulvule, 100-375-30 CA,CAPSULE
261998,SODIUM BICARBONATE 1 MMOL/ML HV,SODIUM BICARBONATE,Sodium Bicarbonateection Usp, 1 MMOL/ML HV,VIAL
262005,SODIUM CHLORIDE 2.5 MEQ/ML HV,SODIUM CHLORIDE,Sodium Chlorideection Usp, 2.5 MEQ/ML HV,VIAL
262323,ALUMINUM HYDROXIDE 200 MG/5ML SC,ALUMINUM HYDROXIDE,Aluminum Hydroxide Gel, 200 MG/5ML SC,ORAL SUSP
262382,"MAGNESIUM, ALUMINUM HYDROXIDE 600-300/5 SC","MAGNESIUM, ALUMINUM HYDROXIDE",Magnesia Alumina Orl Sus, 600-300/5 SC,ORAL SUSP
262609,MAGNESIUM CITRATE 15G/300 ML SJ,MAGNESIUM CITRATE,Citro Mag, 15G/300 ML SJ,SOLUTION
262625,TROLAMINE SALICYLATE 7 % SK,TROLAMINE SALICYLATE,Seratyl Lotion, 7 % SK,LOTION
262668,DENTAL PLAQUE INDICATOR  TC,DENTAL PLAQUE INDICATOR  TC,Red Cote,,TAB CHEW
262676,CYCLOPHOSPHAMIDE 25 MG TA,CYCLOPHOSPHAMIDE,Procytox, 25 MG TA,TABLET
262692,CASCARA SAGRADA/HERBS/LICORICE  TA,CASCARA SAGRADA/HERBS/LICORICE  TA,Herbilax,,TABLET
263079,BENZOCAINE/BENZETHON CL 20 %-0.1 % OA,BENZOCAINE/BENZETHON CL,Americaine Anesthetic Lubricant, 20 %-0.1 % OA,OINT. (G)
263699,BENZOYL PEROXIDE 10 % KK,BENZOYL PEROXIDE,Panoxyl, 10 % KK,GEL ALCOHL
263702,BENZOYL PEROXIDE 5 % KK,BENZOYL PEROXIDE,Panoxyl, 5 % KK,GEL ALCOHL
263761,THEOPHYLLINE ANHYDROUS 165 MG TA,THEOPHYLLINE ANHYDROUS,Acet-Am, 165 MG TA,TABLET
263818,LIPASE/PROTEASE/AMYLASE 10-35-40K CA,LIPASE/PROTEASE/AMYLASE,Cotazym, 10-35-40K CA,CAPSULE
263834,PANCURONIUM BROMIDE 2 MG/ML HH,PANCURONIUM BROMIDE,Pavulon, 2 MG/ML HH,AMPUL
263958,PYRIDOXINE HCL (VITAMIN B6) 100 MG TA,PYRIDOXINE HCL (VITAMIN B6),Vitamin B6, 100 MG TA,TABLET
263974,THIAMINE HCL 500 MG TA,THIAMINE HCL,Vitamin B1, 500 MG TA,TABLET
264822,SODIUM SALICYLATE/SULFUR 0.5 %-5 % SS,SODIUM SALICYLATE/SULFUR,Phisodan Shp, 0.5 %-5 % SS,SHAMPOO
264830,"LANOLIN/PETROLATUM,WHITE  SL","LANOLIN/PETROLATUM,WHITE  SL",Phisoderm Herbal Fragrance,,LIQUID
264849,BUPIVACAINE HCL/EPINEPHRINE 0.25-.0005 HV,BUPIVACAINE HCL/EPINEPHRINE,Marcaine , 0.25-.0005 HV,VIAL
264857,BUPIVACAINE HCL/EPINEPHRINE 0.5-1:200K HV,BUPIVACAINE HCL/EPINEPHRINE,Marcaine , 0.5-1:200K HV,VIAL
264865,BUPIVACAINE HCL 5 MG/ML HV,BUPIVACAINE HCL,Marcaine, 5 MG/ML HV,VIAL
264873,BUPIVACAINE HCL 2.5 MG/ML HV,BUPIVACAINE HCL,Marcaine, 2.5 MG/ML HV,VIAL
264911,CLORAZEPATE DIPOTASSIUM 15 MG CA,CLORAZEPATE DIPOTASSIUM,Tranxene, 15 MG CA,CAPSULE
264938,CLORAZEPATE DIPOTASSIUM 3.75 MG CA,CLORAZEPATE DIPOTASSIUM,Tranxene, 3.75 MG CA,CAPSULE
264946,CLORAZEPATE DIPOTASSIUM 7.5 MG CA,CLORAZEPATE DIPOTASSIUM,Tranxene, 7.5 MG CA,CAPSULE
265284,ERGOCALCIFEROL (VITAMIN D2) 1000 UNIT CA,ERGOCALCIFEROL (VITAMIN D2),Vitamin D, 1000 UNIT CA,CAPSULE
265381,SUTILAINS  OA,SUTILAINS  OA,Travase Ont,,OINT. (G)
265438,CHLORPHENIRAMINE/PPA/GUAIFEN  SL,CHLORPHENIRAMINE/PPA/GUAIFEN  SL,Ornade Expectorant Cough Formula,,LIQUID
265500,ISONIAZID 50 MG/5 ML SJ,ISONIAZID,Isotamine, 50 MG/5 ML SJ,SOLUTION
265780,HYDROCORTISONE ACETATE 0.5 % KA,HYDROCORTISONE ACETATE,Hydrocortisone Cream, 0.5 % KA,CREAM (G)
266493,SALICYLIC ACID/COAL TAR/TRICLO 2%-5%-0.3% SS,SALICYLIC ACID/COAL TAR/TRICLO,Tardan Shp, 2%-5%-0.3% SS,SHAMPOO
266515,ERYTHROMYCIN STEARATE 500 MG TA,ERYTHROMYCIN STEARATE,Erythrocin Filmtab, 500 MG TA,TABLET
267244,BARIUM SULFATE 70 % SC,BARIUM SULFATE,Microtrast, 70 % SC,ORAL SUSP
267260,BARIUM SULFATE 92 % SF,BARIUM SULFATE,Micropaque, 92 % SF,ENEMA
267309,DIALYSIS SOLUTIONS 344MOSM/L HY,DIALYSIS SOLUTIONS,Dianeal , 344MOSM/L HY,IP SOLN
267732,FERROUS GLUCONATE 35 MG/5 ML ST,FERROUS GLUCONATE,Fertinic Syr, 35 MG/5 ML ST,SYRUP
268313,ETHACRYNATE SODIUM 50 MG HS,ETHACRYNATE SODIUM,Sodium Edecrin, 50 MG HS,VIAL
268402,TRIPROLIDINE/PSE/ACETAMINOPHEN  TA,TRIPROLIDINE/PSE/ACETAMINOPHEN  TA,Actifed A,,TABLET
268577,PYRIDOXINE HCL (VITAMIN B6) 250 MG TA,PYRIDOXINE HCL (VITAMIN B6),Vitamin B6, 250 MG TA,TABLET
268623,PANTOTHENIC ACID (VIT B5) 250 MG TA,PANTOTHENIC ACID (VIT B5),Calpan, 250 MG TA,TABLET
269034,HEXAVITAMINS  TA,HEXAVITAMINS  TA,Hexavitamins,,TABLET
269042,SODIUM CHLORIDE/PF 0.9 % DP,SODIUM CHLORIDE/PF,Sodium Chloride Oph Soln, 0.9 % DP,DROPERETTE
269077,ROSE BENGAL SODIUM 1 % SO,ROSE BENGAL SODIUM,Rose Bengal Ophthalmic Soln, 1 % SO,DROPS
269085,PILOCARPINE NITRATE 4 % SO,PILOCARPINE NITRATE,Pilocarpine Nitrate Oph Soln, 4 % SO,DROPS
269107,PILOCARPINE NITRATE/PF 2 % DP,PILOCARPINE NITRATE/PF,Pilocarpine Nitrate Oph Soln, 2 % DP,DROPERETTE
269115,PILOCARPINE NITRATE 1 % SO,PILOCARPINE NITRATE,Pilocarpine Nitrate Oph Soln, 1 % SO,DROPS
269123,PHENYLEPHRINE HCL/PF 10 % DP,PHENYLEPHRINE HCL/PF,Phenylephrine Hcl Oph Soln, 10 % DP,DROPERETTE
