FullName,GenericName,Dosage
"MULTIVIT WITH IRON,MINERALS  SL","MULTIVIT WITH IRON,MINERALS  SL",
IRON BILE SALTS 300 MG CA,IRON BILE SALTS, 300 MG CA
CAPREOMYCIN SULFATE 1 G HS,CAPREOMYCIN SULFATE, 1 G HS
METHOHEXITAL SODIUM 500 MG HS,METHOHEXITAL SODIUM, 500 MG HS
METHOHEXITAL SODIUM 2.5 G HS,METHOHEXITAL SODIUM, 2.5 G HS
FLURANDRENOLIDE 4MCG/SQ CM EN,FLURANDRENOLIDE, 4MCG/SQ CM EN
QUINIDINE GLUCONATE 80 MG/ML HV,QUINIDINE GLUCONATE, 80 MG/ML HV
ISOPROTERENOL/CYCLOPENTAMINE 0.25-0.5MG SA,ISOPROTERENOL/CYCLOPENTAMINE, 0.25-0.5MG SA
AMOBARBITAL SOD/SECOBARBITAL 50 MG-50MG CA,AMOBARBITAL SOD/SECOBARBITAL, 50 MG-50MG CA
AMOBARBITAL SOD/SECOBARBITAL 100-100 MG CA,AMOBARBITAL SOD/SECOBARBITAL, 100-100 MG CA
CALCIUM PHOSPHATE/VITAMIN D2  CA,CALCIUM PHOSPHATE/VITAMIN D2  CA,
AMINOPHYLLINE/EPHED/AMOBARB  CA,AMINOPHYLLINE/EPHED/AMOBARB  CA,
PAROXYPROPIONE 500 MG TA,PAROXYPROPIONE, 500 MG TA
IOTHALAMATE MEGLUMINE 60 % HV,IOTHALAMATE MEGLUMINE, 60 % HV
IOTHALAMATE SODIUM 66.8% HV,IOTHALAMATE SODIUM, 66.8% HV
IOTHALAMATE SODIUM 80 % HV,IOTHALAMATE SODIUM, 80 % HV
IOTHALAMAT NA/IOTHALAM MEG 26 %-52 % HV,IOTHALAMAT NA/IOTHALAM MEG, 26 %-52 % HV
CHLORZOXAZONE/ACETAMINOPHEN 250-300MG TA,CHLORZOXAZONE/ACETAMINOPHEN, 250-300MG TA
DIETHYLPROPION HCL 75 MG TS,DIETHYLPROPION HCL, 75 MG TS
DICYCLOMINE HCL 10 MG/ML HH,DICYCLOMINE HCL, 10 MG/ML HH
DICYCLOMINE HCL/PHENOBARBITAL 10 MG-15MG CA,DICYCLOMINE HCL/PHENOBARBITAL, 10 MG-15MG CA
DICYCLOMINE HCL/PHENOBARBITAL 20-15MG TA,DICYCLOMINE HCL/PHENOBARBITAL, 20-15MG TA
SULFANILAMIDE/ALLANT/A-CRINE  KA,SULFANILAMIDE/ALLANT/A-CRINE  KA,
SULFANILAMIDE/ALLANT/A-CRINE  QC,SULFANILAMIDE/ALLANT/A-CRINE  QC,
SULFANIL/DIENEST/ALLAN/A-CRINE  KW,SULFANIL/DIENEST/ALLAN/A-CRINE  KW,
VITAMIN B COMPLEX/PIPRAD HCL  SL,VITAMIN B COMPLEX/PIPRAD HCL  SL,
PEPSIN/DEHYDRO/DOCA/BILE/PANCR  TA,PEPSIN/DEHYDRO/DOCA/BILE/PANCR  TA,
DIALYSIS SOLUTION/DEXTROSE 1.5 1.5 % HY,DIALYSIS SOLUTION/DEXTROSE , 1.5 1.5 % HY
MULTIVITAMIN WITH IRON  TA,MULTIVITAMIN WITH IRON  TA,
SOD PROPION/INOSITOL/AA14/UREA 0.50-0.83% KW,SOD PROPION/INOSITOL/AA14/UREA, 0.50-0.83% KW
FLUORIDE (SODIUM) 2.7 % JG,FLUORIDE (SODIUM), 2.7 % JG
FLUORIDE (SODIUM) 2 % JG,FLUORIDE (SODIUM), 2 % JG
THIABENDAZOLE 500 MG TC,THIABENDAZOLE, 500 MG TC
AMINOHIPPURATE SODIUM 20 % HV,AMINOHIPPURATE SODIUM, 20 % HV
"ANTIVENIN,LATRODECTUS MACTANS 6000 UNIT HS","ANTIVENIN,LATRODECTUS MACTANS", 6000 UNIT HS
METHYLDOPA/HYDROCHLOROTHIAZIDE 250MG-15MG TA,METHYLDOPA/HYDROCHLOROTHIAZIDE, 250MG-15MG TA
METHYLDOPA/HYDROCHLOROTHIAZIDE 250MG-25MG TA,METHYLDOPA/HYDROCHLOROTHIAZIDE, 250MG-25MG TA
RESERPINE/HYDROCHLOROTHIAZIDE 0.125-25MG TA,RESERPINE/HYDROCHLOROTHIAZIDE, 0.125-25MG TA
RESERPINE/HYDROCHLOROTHIAZIDE 0.125-50MG TA,RESERPINE/HYDROCHLOROTHIAZIDE, 0.125-50MG TA
PERPHENAZINE/AMITRIPTYLINE HCL 3MG-15MG TA,PERPHENAZINE/AMITRIPTYLINE HCL, 3MG-15MG TA
NEOMYCIN/DEXAMETHASONE SOD PH 0.35-0.1% SO,NEOMYCIN/DEXAMETHASONE SOD PH, 0.35-0.1% SO
IODINATED GLYCEROL 6.25MG/ML SL,IODINATED GLYCEROL, 6.25MG/ML SL
VITAMIN E ACETATE 340 UNIT/1 SO,VITAMIN E ACETATE, 340 UNIT/1 SO
VIT E ACET/LIPASE/BROMELAINS 500 UNIT TC,VIT E ACET/LIPASE/BROMELAINS, 500 UNIT TC
PEP/GLUT ACID/BETAINE/B-LAINS  TA,PEP/GLUT ACID/BETAINE/B-LAINS  TA,
BIOFLAV/VIT B12/LIVER EXT/BROM  TA,BIOFLAV/VIT B12/LIVER EXT/BROM  TA,
CAL/MAG/C/VIT D3/G-ACID/KELP  TA,CAL/MAG/C/VIT D3/G-ACID/KELP  TA,
IRON/VITAMIN B COMP AND C  TA,IRON/VITAMIN B COMP AND C  TA,
BENZALKONIUM CHLORIDE  SL,BENZALKONIUM CHLORIDE  SL,
BENZOCAINE/SALICYLIC ACID  SL,BENZOCAINE/SALICYLIC ACID  SL,
MAGNESIUM OXIDE 420 MG TA,MAGNESIUM OXIDE, 420 MG TA
RIBOFLAVIN (VITAMIN B2) 10 MG TA,RIBOFLAVIN (VITAMIN B2), 10 MG TA
BIOTIN 50 MCG TA,BIOTIN, 50 MCG TA
ASCORBIC ACID/RUTIN 300-100 MG TA,ASCORBIC ACID/RUTIN, 300-100 MG TA
VIT C/RUT/HESPER/BIOFLAV/HERBS  TA,VIT C/RUT/HESPER/BIOFLAV/HERBS  TA,
CASCARA SAGRADA/HERBAL DRUGS  PB,CASCARA SAGRADA/HERBAL DRUGS  PB,
AMYLOCAINE HCL 2.5 MG/ML ST,AMYLOCAINE HCL, 2.5 MG/ML ST
PEPSIN/DEOXYCHOLIC ACID 50MG-100MG TA,PEPSIN/DEOXYCHOLIC ACID, 50MG-100MG TA
OPIUM/TANNIC ACID/CAMPHOR  TA,OPIUM/TANNIC ACID/CAMPHOR  TA,
PEPSIN/DOCA/HOMATROPINE  TA,PEPSIN/DOCA/HOMATROPINE  TA,
VITAMIN B COMPLEX/MINERALS  SL,VITAMIN B COMPLEX/MINERALS  SL,
HOMEOPATHIC DRUGS  TB,HOMEOPATHIC DRUGS  TB,
BUTABARBITAL SODIUM/MEPROBAM 50MG-200MG TA,BUTABARBITAL SODIUM/MEPROBAM, 50MG-200MG TA
TESTOSTERONE ENAN/ESTRADIOL 100-6.5 HV,TESTOSTERONE ENAN/ESTRADIOL, 100-6.5 HV
IODOQUINOL/ACETARSOL/BENZALKON  TA,IODOQUINOL/ACETARSOL/BENZALKON  TA,
IPECAC/COD/POTASSIUM/SQUILL XT  ST,IPECAC/COD/POTASSIUM/SQUILL XT  ST,
MULTI B VIT/D-PANTHENOL/LIDO 50-7.5MG/1 HV,MULTI B VIT/D-PANTHENOL/LIDO, 50-7.5MG/1 HV
VITAMIN B COMPLEX  HV,VITAMIN B COMPLEX  HV,
PENTOBARBITAL SODIUM 25 MG QA,PENTOBARBITAL SODIUM, 25 MG QA
PROPOXYPHENE HCL 65 MG CA,PROPOXYPHENE HCL, 65 MG CA
TETRACYCLINE HCL 125 MG/5ML SC,TETRACYCLINE HCL, 125 MG/5ML SC
HYDROCORTISONE ACETATE  PA,HYDROCORTISONE ACETATE  PA,
LIDOCAINE HCL 50 MG/ML SA,LIDOCAINE HCL, 50 MG/ML SA
LIDOCAINE HCL/EPINEPHRINE BIT 2 %-1:100K HJ,LIDOCAINE HCL/EPINEPHRINE BIT, 2 %-1:100K HJ
LIDOCAINE HCL/EPINEPHRINE BIT 2%-1:50000 HJ,LIDOCAINE HCL/EPINEPHRINE BIT, 2%-1:50000 HJ
CAMPHOR/PARACHLOROPHENOL 65 %-35 % SL,CAMPHOR/PARACHLOROPHENOL, 65 %-35 % SL
BENZOCAINE/CLOVE OIL  OA,BENZOCAINE/CLOVE OIL  OA,
COLLOD/OXYQUINOLINE/CLOVE OIL  AS,COLLOD/OXYQUINOLINE/CLOVE OIL  AS,
NONOXYNOL 9 5 % KW,NONOXYNOL , 9 5 % KW
ACETRIZOATE SODIUM  HV,ACETRIZOATE SODIUM  HV,
ACETIC AC/RICINOLEIC/OXYQUINOL 0.921-0.7% JW,ACETIC AC/RICINOLEIC/OXYQUINOL, 0.921-0.7% JW
SULFATHIAZ/SULFACET/SULFABENZ  KW,SULFATHIAZ/SULFACET/SULFABENZ  KW,
DYPHYL/ADEN PHOS/NIA/NAI/ATROP  HV,DYPHYL/ADEN PHOS/NIA/NAI/ATROP  HV,
PANCREATIN 330 MG TE,PANCREATIN, 330 MG TE
PANCREATIN 340 MG CA,PANCREATIN, 340 MG CA
PANCREATIN  PG,PANCREATIN  PG,
PANCREATIN/LIPASE/PROTEASE/AMY 1000 MG TE,PANCREATIN/LIPASE/PROTEASE/AMY, 1000 MG TE
LIPASE/PROTEASE/AMYLASE 16.8-70-70 PA,LIPASE/PROTEASE/AMYLASE, 16.8-70-70 PA
"PITUITARY,POSTERIOR 100 MG CA","PITUITARY,POSTERIOR", 100 MG CA
ASCORBIC ACID 2 MG/ML ST,ASCORBIC ACID, 2 MG/ML ST
EPINEPHRINE HCL 2.1 MG TP,EPINEPHRINE HCL, 2.1 MG TP
SULFUR/ISOPROPYL ALCOHOL  JG,SULFUR/ISOPROPYL ALCOHOL  JG,
OXYBENZONE/DIOXYBENZONE  KA,OXYBENZONE/DIOXYBENZONE  KA,
VIT A PALM/VIT C/HESPER/NIACIN  TA,VIT A PALM/VIT C/HESPER/NIACIN  TA,
MEFENAMIC ACID 250 MG CA,MEFENAMIC ACID, 250 MG CA
RHUS EXTRACTS  HE,RHUS EXTRACTS  HE,
DIPHENHYDRAMINE HCL 2 % KA,DIPHENHYDRAMINE HCL, 2 % KA
EPINEPHRINE 1 MG/ML HV,EPINEPHRINE, 1 MG/ML HV
EPINEPHRINE HCL 1 MG/ML SA,EPINEPHRINE HCL, 1 MG/ML SA
HISTOPLASMIN  HV,HISTOPLASMIN  HV,
METHYL SALICYLATE/MENTHOL  OA,METHYL SALICYLATE/MENTHOL  OA,
PENTOBARBITAL SODIUM/CARBROMAL 100 MG CA,PENTOBARBITAL SODIUM/CARBROMAL, 100 MG CA
PHENYTOIN/PHENOBARB/METHAMPHET  CA,PHENYTOIN/PHENOBARB/METHAMPHET  CA,
MAG HYDROX/ALUMINUM HYD/SIMETH 200-200-20 SC,MAG HYDROX/ALUMINUM HYD/SIMETH, 200-200-20 SC
MAG HYDROX/ALUMINUM HYD/SIMETH 200-200-20 TC,MAG HYDROX/ALUMINUM HYD/SIMETH, 200-200-20 TC
DIPHENHYDR/ERGOTAMINE/CAFFEINE 25-1-100MG CA,DIPHENHYDR/ERGOTAMINE/CAFFEINE, 25-1-100MG CA
DIPHENHYDRAMINE/CAMPHR/ZIRC OX  SK,DIPHENHYDRAMINE/CAMPHR/ZIRC OX  SK,
CHLORAMPHENICOL/F-LYSIN/DNASE  OA,CHLORAMPHENICOL/F-LYSIN/DNASE  OA,
"PETROLAT,WHT/CET ALC/STRYL ALC  OA","PETROLAT,WHT/CET ALC/STRYL ALC  OA",
CHLORAMPHENICOL/POLYMYXIN B/HC  OA,CHLORAMPHENICOL/POLYMYXIN B/HC  OA,
CAPSI/CAMPH/TURP OIL/CAJ OIL  OA,CAPSI/CAMPH/TURP OIL/CAJ OIL  OA,
THEOPHYLLINE ANHYDROUS 80 MG/15ML SE,THEOPHYLLINE ANHYDROUS, 80 MG/15ML SE
PHENAZOPYRIDINE HCL 100 MG TA,PHENAZOPYRIDINE HCL, 100 MG TA
MECLIZINE HCL/NIACIN 12.5-50 MG TA,MECLIZINE HCL/NIACIN, 12.5-50 MG TA
POVIDONE-IODINE 1 % SM,POVIDONE-IODINE, 1 % SM
POVIDONE-IODINE 5 % AA,POVIDONE-IODINE, 5 % AA
POVIDONE-IODINE 7.5 % PN,POVIDONE-IODINE, 7.5 % PN
TRIETHANOLAMINE 10 % SO,TRIETHANOLAMINE, 10 % SO
TYROTHRICIN/TRIETHANOLAMINE  SL,TYROTHRICIN/TRIETHANOLAMINE  SL,
SULFASALAZINE 500 MG TE,SULFASALAZINE, 500 MG TE
DEXTRAN 70 IN 0.9 % NACL 6 %-0.9 % HM,DEXTRAN 70 IN , 70 IN 0.9 % NACL 6 %-0.9 % HM
DEXTRAN 70/D5W 6 % HM,DEXTRAN , 70/D5W 6 % HM
DEXTRAN 40 IN DEXTROSE 5 % 10 % HM,DEXTRAN 40 IN DEXTROSE , 40 IN DEXTROSE 5 % 10 % HM
DIMETHICONE/ZINC OXIDE  AS,DIMETHICONE/ZINC OXIDE  AS,
ACETYLSALICYLIC ACID 300 MG TA,ACETYLSALICYLIC ACID, 300 MG TA
DOCUSATE SODIUM 15 MG TA,DOCUSATE SODIUM, 15 MG TA
PEPSIN 62.5MG/5ML SL,PEPSIN, 62.5MG/5ML SL
GLYCERIN  KA,GLYCERIN  KA,
ACETAMINOPHEN/ADIPHENINE HCL 300-100 MG TA,ACETAMINOPHEN/ADIPHENINE HCL, 300-100 MG TA
CAFFEINE/DEXTROSE 100-420MG TA,CAFFEINE/DEXTROSE, 100-420MG TA
EPHEDRINE HCL/AMINACRINE HCL 0.5-0.1 SL,EPHEDRINE HCL/AMINACRINE HCL, 0.5-0.1 SL
METHENAMINE/METHYLENE BLUE 250-10MG TA,METHENAMINE/METHYLENE BLUE, 250-10MG TA
"LANOLIN/PETROLATUM,WHITE  EE","LANOLIN/PETROLATUM,WHITE  EE",
CYANOCOBALAMIN/THIAMINE  SL,CYANOCOBALAMIN/THIAMINE  SL,
GUAIFEN/NOSCAPINE/SOD CITRAT  TL,GUAIFEN/NOSCAPINE/SOD CITRAT  TL,
TYROTHRIC/PHENYLEPH/BENZALKON  AS,TYROTHRIC/PHENYLEPH/BENZALKON  AS,
PHENYLEPHRINE/SOD BOR/BORIC AC  SO,PHENYLEPHRINE/SOD BOR/BORIC AC  SO,
MAG HYDROX/ALUMINUM HYD/SIMETH 200-275/5 SC,MAG HYDROX/ALUMINUM HYD/SIMETH, 200-275/5 SC
ACETAMINOPHEN/CODEINE/CAFFEINE 300-8-15MG TA,ACETAMINOPHEN/CODEINE/CAFFEINE, 300-8-15MG TA
B-CAINE/CETYLPYRD CL/CTK  TL,B-CAINE/CETYLPYRD CL/CTK  TL,
NOSCAPINE/P-EPHED/DIPH-PYRA  SL,NOSCAPINE/P-EPHED/DIPH-PYRA  SL,
NOSCAPINE/B-CAINE/CETYLPYRD CL  TL,NOSCAPINE/B-CAINE/CETYLPYRD CL  TL,
BENZOCAINE/MENTHOL/ALLANTOIN  OA,BENZOCAINE/MENTHOL/ALLANTOIN  OA,
CALCIUM CARB/MAG CARB/LOBELINE  TA,CALCIUM CARB/MAG CARB/LOBELINE  TA,
UNDECYL/UNDECYL/S-A/BORIC ACID  PA,UNDECYL/UNDECYL/S-A/BORIC ACID  PA,
UNDECYL/UNDECYL/S-A/BORIC ACID  OA,UNDECYL/UNDECYL/S-A/BORIC ACID  OA,
B-CAINE/MENTH/CAMPH/BENZALKON  SL,B-CAINE/MENTH/CAMPH/BENZALKON  SL,
TYROTH/POLYMYXIN B/BENZO/CPYRD  TL,TYROTH/POLYMYXIN B/BENZO/CPYRD  TL,
EUCALYPTUS/ME-SAL/MENTHOL/CAMP  OA,EUCALYPTUS/ME-SAL/MENTHOL/CAMP  OA,
PPA/COD PHOS/SLMD/ACETAM/DIPH-  TA,PPA/COD PHOS/SLMD/ACETAM/DIPH-  TA,
TH/COCILLANA/GUAIA/CRE/COD/MEN  SL,TH/COCILLANA/GUAIA/CRE/COD/MEN  SL,
ZINC PSN/ZINC/TALC/P-CL-PHEN  PA,ZINC PSN/ZINC/TALC/P-CL-PHEN  PA,
CAPSICUM/ME-SAL/CAMPH/TURP/ACN  SI,CAPSICUM/ME-SAL/CAMPH/TURP/ACN  SI,
COCILL/DIPH-PYRA/CTK/HB/SQUILL  SL,COCILL/DIPH-PYRA/CTK/HB/SQUILL  SL,
B-CAINE/BELLAD ALK/BALSAM/ZINC  OA,B-CAINE/BELLAD ALK/BALSAM/ZINC  OA,
EPHED/B-CAINE/BELL ALK/BISMUTH  QA,EPHED/B-CAINE/BELL ALK/BISMUTH  QA,
DAUNORUBICIN HCL 20 MG HS,DAUNORUBICIN HCL, 20 MG HS
SULFAPYRIDINE 500 MG TA,SULFAPYRIDINE, 500 MG TA
CHLORPROMAZINE HCL 25 MG/ML HV,CHLORPROMAZINE HCL, 25 MG/ML HV
PROMETHAZINE HCL 2 % KA,PROMETHAZINE HCL, 2 % KA
DEHYDROCHOLIC ACID 300 MG TA,DEHYDROCHOLIC ACID, 300 MG TA
GALLAMINE TRIETHIODIDE 20 MG/ML HH,GALLAMINE TRIETHIODIDE, 20 MG/ML HH
MEPERIDINE HCL/PROMETH HCL 50-25 HH,MEPERIDINE HCL/PROMETH HCL, 50-25 HH
CYANOCOBALAMIN (VITAMIN B-12) 25 MCG TA,CYANOCOBALAMIN (VITAMIN B-12), 25 MCG TA
SODIUM BORATE/SODIUM CARBONATE  PA,SODIUM BORATE/SODIUM CARBONATE  PA,
AMMONIA/CAMPHOR/TURPENTINE OIL  SL,AMMONIA/CAMPHOR/TURPENTINE OIL  SL,
SOD CHLOR/CALCIUM/IODIN/S.CARB  PA,SOD CHLOR/CALCIUM/IODIN/S.CARB  PA,
SAL ACID/TLC/B-ZOIN/ZNOX/STAR  PA,SAL ACID/TLC/B-ZOIN/ZNOX/STAR  PA,
CUPRIC SULF/RESOR/CAMPHOR/ZINC  SL,CUPRIC SULF/RESOR/CAMPHOR/ZINC  SL,
THYM/ME-SAL/MENTH/CAMPH/EUC  OA,THYM/ME-SAL/MENTH/CAMPH/EUC  OA,
VITAMIN A/VITAMIN D2/VIT B12  TA,VITAMIN A/VITAMIN D2/VIT B12  TA,
ETHYL ALCOHOL 95 % SA,ETHYL ALCOHOL, 95 % SA
CAMPHOR  SQ,CAMPHOR  SQ,
COAL TAR/ALLANTOIN  SK,COAL TAR/ALLANTOIN  SK,
MEPHENESIN/METHYL NICOTINATE 10 %-1 % OA,MEPHENESIN/METHYL NICOTINATE, 10 %-1 % OA
IRON/CYANOCOBALAMIN/COPPER/RNA  SJ,IRON/CYANOCOBALAMIN/COPPER/RNA  SJ,
EPHEDRINE/MEN/CAMP/CHLORBU/EUC 6-4-2MG/G OA,EPHEDRINE/MEN/CAMP/CHLORBU/EUC, 6-4-2MG/G OA
ORPHENADRINE CITRATE 30 MG/ML HV,ORPHENADRINE CITRATE, 30 MG/ML HV
ORPHENADRINE CITRATE 100 MG TS,ORPHENADRINE CITRATE, 100 MG TS
DEANOL 100 MG TA,DEANOL, 100 MG TA
IODINE 1 % SA,IODINE, 1 % SA
ASCORBIC ACID 150 MG TA,ASCORBIC ACID, 150 MG TA
RACEMETHIONINE/CHOLINE BIT 200-100 MG TA,RACEMETHIONINE/CHOLINE BIT, 200-100 MG TA
VIT B6/SAFFLOWER OIL  CA,VIT B6/SAFFLOWER OIL  CA,
BROMPHENIRAMINE MALEATE 8 MG TS,BROMPHENIRAMINE MALEATE, 8 MG TS
BROMPHENIRAMINE MALEATE 12 MG TS,BROMPHENIRAMINE MALEATE, 12 MG TS
METHOCARBAMOL 500 MG TA,METHOCARBAMOL, 500 MG TA
METHOCARBAMOL 750 MG TA,METHOCARBAMOL, 750 MG TA
GUAIFENESIN/DEXTROMETHORPHAN 100-10MG/5 SL,GUAIFENESIN/DEXTROMETHORPHAN, 100-10MG/5 SL
METHOCARBAMOL/ASA 400-325 MG TA,METHOCARBAMOL/ASA, 400-325 MG TA
PHENYLEPHRINE/PPA/BR-PHENIR  SE,PHENYLEPHRINE/PPA/BR-PHENIR  SE,
PHENYLEPHRINE/PPA/BR-PHENIR 5-5-4MG TA,PHENYLEPHRINE/PPA/BR-PHENIR, 5-5-4MG TA
PHENYLEPHRINE/PPA/BR-PHENIR  TS,PHENYLEPHRINE/PPA/BR-PHENIR  TS,
CODEINE/METHOCARBAMOL/ASA 8-400-325 TA,CODEINE/METHOCARBAMOL/ASA, 8-400-325 TA
CODEINE/METHOCARBAMOL/ASA 16-400-325 TA,CODEINE/METHOCARBAMOL/ASA, 16-400-325 TA
PEPSIN/WHOLE BILE/PANCREATIN  TA,PEPSIN/WHOLE BILE/PANCREATIN  TA,
GUAIFENESIN/CODEINE/PHENIRAMIN 3.3-7.5/5 ST,GUAIFENESIN/CODEINE/PHENIRAMIN, 3.3-7.5/5 ST
GUAIFENESIN/CODEINE/PHENIRAMIN 100-10-7.5 ST,GUAIFENESIN/CODEINE/PHENIRAMIN, 100-10-7.5 ST
DM/PHENYLEPHRINE HCL/PPA/BPM  TA,DM/PHENYLEPHRINE HCL/PPA/BPM  TA,
GUAIFEN/PHENYLEPHRINE/PPA/BPM  SH,GUAIFEN/PHENYLEPHRINE/PPA/BPM  SH,
PHENYLEPHRINE HCL/PPA/COD/BPM  TA,PHENYLEPHRINE HCL/PPA/COD/BPM  TA,
PHENOBARB/HYOSCY/ATROPINE/SCOP 16.2MG/5ML SE,PHENOBARB/HYOSCY/ATROPINE/SCOP, 16.2MG/5ML SE
PHENOBARB/HYOSCY/ATROPINE/SCOP 16.2 MG TA,PHENOBARB/HYOSCY/ATROPINE/SCOP, 16.2 MG TA
PHENOBARB/HYOSCY/ATROPINE/SCOP 48.6MG TS,PHENOBARB/HYOSCY/ATROPINE/SCOP, 48.6MG TS
GUAIFEN/PE/PHENYLPROP/HCOD/BPM  SH,GUAIFEN/PE/PHENYLPROP/HCOD/BPM  SH,
KAOLIN/PECTIN/BELLAD ALK  SC,KAOLIN/PECTIN/BELLAD ALK  SC,
NEOMYCIN SULF/KAO/PEC/BELL ALK  SC,NEOMYCIN SULF/KAO/PEC/BELL ALK  SC,
OPIUM/PECT/BELLAD ALK/ATTAPUL  CA,OPIUM/PECT/BELLAD ALK/ATTAPUL  CA,
PEPSIN/BILE/PANCREA/BEL.ALK/PB  TA,PEPSIN/BILE/PANCREA/BEL.ALK/PB  TA,
DYPHYLLINE/POTASSIUM IODIDE  SL,DYPHYLLINE/POTASSIUM IODIDE  SL,
MAG HYDROX/ALUMINUM HYD/SIMETH 200-225-25 SC,MAG HYDROX/ALUMINUM HYD/SIMETH, 200-225-25 SC
MAG HYDROX/ALUMINUM HYD/SIMETH 200-200-25 TC,MAG HYDROX/ALUMINUM HYD/SIMETH, 200-200-25 TC
PHOSPHORATED CARBO(DEXT-FRUCT)  SJ,PHOSPHORATED CARBO(DEXT-FRUCT)  SJ,
FRAMYCETIN SULFATE 1%-10X10CM YE,FRAMYCETIN SULFATE, 1%-10X10CM YE
DIPHENHYDRAMINE/METHAQUALONE 25MG-250MG CA,DIPHENHYDRAMINE/METHAQUALONE, 25MG-250MG CA
DIPHENHYDRAMINE/METHAQUALONE 25MG-250MG TA,DIPHENHYDRAMINE/METHAQUALONE, 25MG-250MG TA
FRAMYCETIN/GRAMICIDIN/PHENYLEP 12.5-2.5/1 AU,FRAMYCETIN/GRAMICIDIN/PHENYLEP, 12.5-2.5/1 AU
FRAMYCETIN/GRAMICID D/DEXAMETH  OA,FRAMYCETIN/GRAMICID D/DEXAMETH  OA,
FRAMYCETIN/ESCULOSIDE/HC/DIB 10-10-5-5 OW,FRAMYCETIN/ESCULOSIDE/HC/DIB, 10-10-5-5 OW
FRAMYCETIN/ESCULOSIDE/HC/DIB 10-10-5-5 QA,FRAMYCETIN/ESCULOSIDE/HC/DIB, 10-10-5-5 QA
HYDROXYAPATITE 200 MG TA,HYDROXYAPATITE, 200 MG TA
PROT ENZYME/STOMACH CONC  HV,PROT ENZYME/STOMACH CONC  HV,
PROT ENZYME/STOMACH CONC  TA,PROT ENZYME/STOMACH CONC  TA,
MAG CARB/SOD BICARB/BISM SUBN  TA,MAG CARB/SOD BICARB/BISM SUBN  TA,
ERGOTAMINE TARTRATE/CAFFEINE 1 MG-100MG TA,ERGOTAMINE TARTRATE/CAFFEINE, 1 MG-100MG TA
BELLADONNA ALKALOIDS/PHENOBARB 50 MG TS,BELLADONNA ALKALOIDS/PHENOBARB, 50 MG TS
ERGOTAMINE TART/BELLAD ALK/PB 0.3-0.1-20 TA,ERGOTAMINE TART/BELLAD ALK/PB, 0.3-0.1-20 TA
ERGOTAMINE TART/BELLAD ALK/PB 0.6-0.2-40 TA,ERGOTAMINE TART/BELLAD ALK/PB, 0.6-0.2-40 TA
ERGOLOID MESYLATES 1 MG TA,ERGOLOID MESYLATES, 1 MG TA
CODEINE/BUTALBITAL/ASA/CAFFEIN 15-50-330 CA,CODEINE/BUTALBITAL/ASA/CAFFEIN, 15-50-330 CA
CODEINE/BUTALBITAL/ASA/CAFFEIN 30-50-330 CA,CODEINE/BUTALBITAL/ASA/CAFFEIN, 30-50-330 CA
ERGOTAMIN/CAFF/BELL ALK/P-BARB  QA,ERGOTAMIN/CAFF/BELL ALK/P-BARB  QA,
ERGOTAMIN/CAFF/BELL ALK/P-BARB  TA,ERGOTAMIN/CAFF/BELL ALK/P-BARB  TA,
DHE/SCOP/BARBITAL/P-BARB/BUTAL  TA,DHE/SCOP/BARBITAL/P-BARB/BUTAL  TA,
CHLORPHENIRAMINE MALEATE 8 MG TS,CHLORPHENIRAMINE MALEATE, 8 MG TS
CHLORPHENIRAMINE MALEATE 12 MG TS,CHLORPHENIRAMINE MALEATE, 12 MG TS
BETAMETHASONE SODIUM PHOSPHATE 1 MG TS,BETAMETHASONE SODIUM PHOSPHATE, 1 MG TS
DEXCHLORPHENIRAMINE MALEATE 6 MG TS,DEXCHLORPHENIRAMINE MALEATE, 6 MG TS
PERPHENAZINE/AMITRIPTYLINE HCL 2 MG-10 MG TA,PERPHENAZINE/AMITRIPTYLINE HCL, 2 MG-10 MG TA
PERPHENAZINE/AMITRIPTYLINE HCL 4MG-10MG TA,PERPHENAZINE/AMITRIPTYLINE HCL, 4MG-10MG TA
PERPHENAZINE/AMITRIPTYLINE HCL 2 MG-25 MG TA,PERPHENAZINE/AMITRIPTYLINE HCL, 2 MG-25 MG TA
PERPHENAZINE/AMITRIPTYLINE HCL 4 MG-25 MG TA,PERPHENAZINE/AMITRIPTYLINE HCL, 4 MG-25 MG TA
GENTAMICIN/BETAMETHASONE VAL 0.1 %-0.1% KA,GENTAMICIN/BETAMETHASONE VAL, 0.1 %-0.1% KA
SULFACETAMIDE/PREDNISOLONE 10%-0.5% SN,SULFACETAMIDE/PREDNISOLONE, 10%-0.5% SN
CHLORPHENIRAM/PREDNISONE/VIT C  TA,CHLORPHENIRAM/PREDNISONE/VIT C  TA,
NEOMYCIN SULF/SULFACETAM/PRED  OA,NEOMYCIN SULF/SULFACETAM/PRED  OA,
HYDROCORTISONE ACETATE 50 MG/ML HV,HYDROCORTISONE ACETATE, 50 MG/ML HV
TESTOSTERONE PROPIONATE 100 MG/ML HV,TESTOSTERONE PROPIONATE, 100 MG/ML HV
TESTOSTERONE 100 MG/ML HV,TESTOSTERONE, 100 MG/ML HV
TESTOSTERONE ENAN/ESTRADIOL 90-4MG/ML HV,TESTOSTERONE ENAN/ESTRADIOL, 90-4MG/ML HV
ERGOT/BELLADONNA/PHENOBARBITAL  TA,ERGOT/BELLADONNA/PHENOBARBITAL  TA,
