,FullDosage,MedName,Dosage/Concentration,Quantity
13278,BUTABARBITAL SODIUM/MEPROBAM 50MG-200MG TA,BUTABARBITAL,SODIUM/MEPROBAM 50MG-200MG TA,0
13308,TESTOSTERONE ENAN/ESTRADIOL 100-6.5 HV,TESTOSTERONE,ENAN/ESTRADIOL 100-6.5 HV,0
13338,IODOQUINOL/ACETARSOL/BENZALKON  TA,IODOQUINOL/ACETARSOL/BENZALKON, TA,0
13339,IPECAC/COD/POTASSIUM/SQUILL XT  ST,IPECAC/COD/POTASSIUM/SQUILL,XT  ST,0
13340,MULTI B VIT/D-PANTHENOL/LIDO 50-7.5MG/1 HV,MULTI,B VIT/D-PANTHENOL/LIDO 50-7.5MG/1 HV,0
13341,VITAMIN B COMPLEX  HV,VITAMIN,B COMPLEX  HV,0
13342,PENTOBARBITAL SODIUM 25 MG QA,PENTOBARBITAL,SODIUM 25 MG QA,0
13344,PROPOXYPHENE HCL 65 MG CA,PROPOXYPHENE,HCL 65 MG CA,0
13346,TETRACYCLINE HCL 125 MG/5ML SC,TETRACYCLINE,HCL 125 MG/5ML SC,0
13348,HYDROCORTISONE ACETATE  PA,HYDROCORTISONE,ACETATE  PA,0
13382,LIDOCAINE HCL 50 MG/ML SA,LIDOCAINE,HCL 50 MG/ML SA,0
13384,LIDOCAINE HCL/EPINEPHRINE BIT 2 %-1:100K HJ,LIDOCAINE,HCL/EPINEPHRINE BIT 2 %-1:100K HJ,0
13385,LIDOCAINE HCL/EPINEPHRINE BIT 2%-1:50000 HJ,LIDOCAINE,HCL/EPINEPHRINE BIT 2%-1:50000 HJ,0
13386,CAMPHOR/PARACHLOROPHENOL 65 %-35 % SL,CAMPHOR/PARACHLOROPHENOL,65 %-35 % SL,0
13387,BENZOCAINE/CLOVE OIL  OA,BENZOCAINE/CLOVE,OIL  OA,0
13388,COLLOD/OXYQUINOLINE/CLOVE OIL  AS,COLLOD/OXYQUINOLINE/CLOVE,OIL  AS,0
13389,NONOXYNOL 9 5 % KW,NONOXYNOL,9 5 % KW,0
13390,ACETRIZOATE SODIUM  HV,ACETRIZOATE,SODIUM  HV,0
13391,ACETIC AC/RICINOLEIC/OXYQUINOL 0.921-0.7% JW,ACETIC,AC/RICINOLEIC/OXYQUINOL 0.921-0.7% JW,0
13392,SULFATHIAZ/SULFACET/SULFABENZ  KW,SULFATHIAZ/SULFACET/SULFABENZ, KW,0
13422,DYPHYL/ADEN PHOS/NIA/NAI/ATROP  HV,DYPHYL/ADEN,PHOS/NIA/NAI/ATROP  HV,0
13423,PANCREATIN 330 MG TE,PANCREATIN,330 MG TE,0
13424,PANCREATIN 340 MG CA,PANCREATIN,340 MG CA,0
13425,PANCREATIN  PG,PANCREATIN, PG,0
13426,PANCREATIN/LIPASE/PROTEASE/AMY 1000 MG TE,PANCREATIN/LIPASE/PROTEASE/AMY,1000 MG TE,0
13427,LIPASE/PROTEASE/AMYLASE 16.8-70-70 PA,LIPASE/PROTEASE/AMYLASE,16.8-70-70 PA,0
13428,"PITUITARY,POSTERIOR 100 MG CA","PITUITARY,POSTERIOR",100 MG CA,0
13429,ASCORBIC ACID 2 MG/ML ST,ASCORBIC,ACID 2 MG/ML ST,0
13430,EPINEPHRINE HCL 2.1 MG TP,EPINEPHRINE,HCL 2.1 MG TP,0
13431,SULFUR/ISOPROPYL ALCOHOL  JG,SULFUR/ISOPROPYL,ALCOHOL  JG,0
13432,OXYBENZONE/DIOXYBENZONE  KA,OXYBENZONE/DIOXYBENZONE, KA,0
13433,VIT A PALM/VIT C/HESPER/NIACIN  TA,VIT,A PALM/VIT C/HESPER/NIACIN  TA,0
13434,MEFENAMIC ACID 250 MG CA,MEFENAMIC,ACID 250 MG CA,0
13455,RHUS EXTRACTS  HE,RHUS,EXTRACTS  HE,0
13456,DIPHENHYDRAMINE HCL 2 % KA,DIPHENHYDRAMINE,HCL 2 % KA,0
13457,EPINEPHRINE 1 MG/ML HV,EPINEPHRINE,1 MG/ML HV,0
13492,EPINEPHRINE HCL 1 MG/ML SA,EPINEPHRINE,HCL 1 MG/ML SA,0
13533,HISTOPLASMIN  HV,HISTOPLASMIN, HV,0
13537,METHYL SALICYLATE/MENTHOL  OA,METHYL,SALICYLATE/MENTHOL  OA,0
13540,PENTOBARBITAL SODIUM/CARBROMAL 100 MG CA,PENTOBARBITAL,SODIUM/CARBROMAL 100 MG CA,0
13575,PHENYTOIN/PHENOBARB/METHAMPHET  CA,PHENYTOIN/PHENOBARB/METHAMPHET, CA,0
13605,MAG HYDROX/ALUMINUM HYD/SIMETH 200-200-20 SC,MAG,HYDROX/ALUMINUM HYD/SIMETH 200-200-20 SC,0
13606,MAG HYDROX/ALUMINUM HYD/SIMETH 200-200-20 TC,MAG,HYDROX/ALUMINUM HYD/SIMETH 200-200-20 TC,0
13607,DIPHENHYDR/ERGOTAMINE/CAFFEINE 25-1-100MG CA,DIPHENHYDR/ERGOTAMINE/CAFFEINE,25-1-100MG CA,0
13608,DIPHENHYDRAMINE/CAMPHR/ZIRC OX  SK,DIPHENHYDRAMINE/CAMPHR/ZIRC,OX  SK,0
13609,CHLORAMPHENICOL/F-LYSIN/DNASE  OA,CHLORAMPHENICOL/F-LYSIN/DNASE, OA,0
13639,"PETROLAT,WHT/CET ALC/STRYL ALC  OA","PETROLAT,WHT/CET",ALC/STRYL ALC  OA,0
13640,CHLORAMPHENICOL/POLYMYXIN B/HC  OA,CHLORAMPHENICOL/POLYMYXIN,B/HC  OA,0
13641,CAPSI/CAMPH/TURP OIL/CAJ OIL  OA,CAPSI/CAMPH/TURP,OIL/CAJ OIL  OA,0
13681,THEOPHYLLINE ANHYDROUS 80 MG/15ML SE,THEOPHYLLINE,ANHYDROUS 80 MG/15ML SE,0
13721,PHENAZOPYRIDINE HCL 100 MG TA,PHENAZOPYRIDINE,HCL 100 MG TA,0
13724,MECLIZINE HCL/NIACIN 12.5-50 MG TA,MECLIZINE,HCL/NIACIN 12.5-50 MG TA,0
13725,POVIDONE-IODINE 1 % SM,POVIDONE-IODINE,1 % SM,0
13726,POVIDONE-IODINE 5 % AA,POVIDONE-IODINE,5 % AA,0
13727,POVIDONE-IODINE 7.5 % PN,POVIDONE-IODINE,7.5 % PN,0
13735,TRIETHANOLAMINE 10 % SO,TRIETHANOLAMINE,10 % SO,0
13736,TYROTHRICIN/TRIETHANOLAMINE  SL,TYROTHRICIN/TRIETHANOLAMINE, SL,0
13737,SULFASALAZINE 500 MG TE,SULFASALAZINE,500 MG TE,0
13738,DEXTRAN 70 IN 0.9 % NACL 6 %-0.9 % HM,DEXTRAN,70 IN 0.9 % NACL 6 %-0.9 % HM,0
13740,DEXTRAN 70/D5W 6 % HM,DEXTRAN,70/D5W 6 % HM,0
13741,DEXTRAN 40 IN DEXTROSE 5 % 10 % HM,DEXTRAN,40 IN DEXTROSE 5 % 10 % HM,0
13743,DIMETHICONE/ZINC OXIDE  AS,DIMETHICONE/ZINC,OXIDE  AS,0
13746,ACETYLSALICYLIC ACID 300 MG TA,ACETYLSALICYLIC,ACID 300 MG TA,0
13759,DOCUSATE SODIUM 15 MG TA,DOCUSATE,SODIUM 15 MG TA,0
13760,PEPSIN 62.5MG/5ML SL,PEPSIN,62.5MG/5ML SL,0
13761,GLYCERIN  KA,GLYCERIN, KA,0
13763,ACETAMINOPHEN/ADIPHENINE HCL 300-100 MG TA,ACETAMINOPHEN/ADIPHENINE,HCL 300-100 MG TA,0
13764,CAFFEINE/DEXTROSE 100-420MG TA,CAFFEINE/DEXTROSE,100-420MG TA,0
13765,EPHEDRINE HCL/AMINACRINE HCL 0.5-0.1 SL,EPHEDRINE,HCL/AMINACRINE HCL 0.5-0.1 SL,0
13768,METHENAMINE/METHYLENE BLUE 250-10MG TA,METHENAMINE/METHYLENE,BLUE 250-10MG TA,0
13769,"LANOLIN/PETROLATUM,WHITE  EE","LANOLIN/PETROLATUM,WHITE", EE,0
13770,CYANOCOBALAMIN/THIAMINE  SL,CYANOCOBALAMIN/THIAMINE, SL,0
13771,GUAIFEN/NOSCAPINE/SOD CITRAT  TL,GUAIFEN/NOSCAPINE/SOD,CITRAT  TL,0
13772,TYROTHRIC/PHENYLEPH/BENZALKON  AS,TYROTHRIC/PHENYLEPH/BENZALKON, AS,0
13773,PHENYLEPHRINE/SOD BOR/BORIC AC  SO,PHENYLEPHRINE/SOD,BOR/BORIC AC  SO,0
13775,MAG HYDROX/ALUMINUM HYD/SIMETH 200-275/5 SC,MAG,HYDROX/ALUMINUM HYD/SIMETH 200-275/5 SC,0
13776,ACETAMINOPHEN/CODEINE/CAFFEINE 300-8-15MG TA,ACETAMINOPHEN/CODEINE/CAFFEINE,300-8-15MG TA,0
13782,B-CAINE/CETYLPYRD CL/CTK  TL,B-CAINE/CETYLPYRD,CL/CTK  TL,0
13783,NOSCAPINE/P-EPHED/DIPH-PYRA  SL,NOSCAPINE/P-EPHED/DIPH-PYRA, SL,0
13784,NOSCAPINE/B-CAINE/CETYLPYRD CL  TL,NOSCAPINE/B-CAINE/CETYLPYRD,CL  TL,0
13785,BENZOCAINE/MENTHOL/ALLANTOIN  OA,BENZOCAINE/MENTHOL/ALLANTOIN, OA,0
13786,CALCIUM CARB/MAG CARB/LOBELINE  TA,CALCIUM,CARB/MAG CARB/LOBELINE  TA,0
13788,UNDECYL/UNDECYL/S-A/BORIC ACID  PA,UNDECYL/UNDECYL/S-A/BORIC,ACID  PA,0
13789,UNDECYL/UNDECYL/S-A/BORIC ACID  OA,UNDECYL/UNDECYL/S-A/BORIC,ACID  OA,0
13790,B-CAINE/MENTH/CAMPH/BENZALKON  SL,B-CAINE/MENTH/CAMPH/BENZALKON, SL,0
13791,TYROTH/POLYMYXIN B/BENZO/CPYRD  TL,TYROTH/POLYMYXIN,B/BENZO/CPYRD  TL,0
13792,EUCALYPTUS/ME-SAL/MENTHOL/CAMP  OA,EUCALYPTUS/ME-SAL/MENTHOL/CAMP, OA,0
13793,PPA/COD PHOS/SLMD/ACETAM/DIPH-  TA,PPA/COD,PHOS/SLMD/ACETAM/DIPH-  TA,0
13794,TH/COCILLANA/GUAIA/CRE/COD/MEN  SL,TH/COCILLANA/GUAIA/CRE/COD/MEN, SL,0
13795,ZINC PSN/ZINC/TALC/P-CL-PHEN  PA,ZINC,PSN/ZINC/TALC/P-CL-PHEN  PA,0
13796,CAPSICUM/ME-SAL/CAMPH/TURP/ACN  SI,CAPSICUM/ME-SAL/CAMPH/TURP/ACN, SI,0
13797,COCILL/DIPH-PYRA/CTK/HB/SQUILL  SL,COCILL/DIPH-PYRA/CTK/HB/SQUILL, SL,0
13800,B-CAINE/BELLAD ALK/BALSAM/ZINC  OA,B-CAINE/BELLAD,ALK/BALSAM/ZINC  OA,0
13801,EPHED/B-CAINE/BELL ALK/BISMUTH  QA,EPHED/B-CAINE/BELL,ALK/BISMUTH  QA,0
13805,DAUNORUBICIN HCL 20 MG HS,DAUNORUBICIN,HCL 20 MG HS,0
13806,SULFAPYRIDINE 500 MG TA,SULFAPYRIDINE,500 MG TA,0
13836,CHLORPROMAZINE HCL 25 MG/ML HV,CHLORPROMAZINE,HCL 25 MG/ML HV,0
13837,PROMETHAZINE HCL 2 % KA,PROMETHAZINE,HCL 2 % KA,0
13838,DEHYDROCHOLIC ACID 300 MG TA,DEHYDROCHOLIC,ACID 300 MG TA,0
13868,GALLAMINE TRIETHIODIDE 20 MG/ML HH,GALLAMINE,TRIETHIODIDE 20 MG/ML HH,0
13898,MEPERIDINE HCL/PROMETH HCL 50-25 HH,MEPERIDINE,HCL/PROMETH HCL 50-25 HH,0
13936,CYANOCOBALAMIN (VITAMIN B-12) 25 MCG TA,CYANOCOBALAMIN,(VITAMIN B-12) 25 MCG TA,0
13944,SODIUM BORATE/SODIUM CARBONATE  PA,SODIUM,BORATE/SODIUM CARBONATE  PA,0
13945,AMMONIA/CAMPHOR/TURPENTINE OIL  SL,AMMONIA/CAMPHOR/TURPENTINE,OIL  SL,0
13946,SOD CHLOR/CALCIUM/IODIN/S.CARB  PA,SOD,CHLOR/CALCIUM/IODIN/S.CARB  PA,0
13947,SAL ACID/TLC/B-ZOIN/ZNOX/STAR  PA,SAL,ACID/TLC/B-ZOIN/ZNOX/STAR  PA,0
13948,CUPRIC SULF/RESOR/CAMPHOR/ZINC  SL,CUPRIC,SULF/RESOR/CAMPHOR/ZINC  SL,0
13950,THYM/ME-SAL/MENTH/CAMPH/EUC  OA,THYM/ME-SAL/MENTH/CAMPH/EUC, OA,0
13952,VITAMIN A/VITAMIN D2/VIT B12  TA,VITAMIN,A/VITAMIN D2/VIT B12  TA,0
13953,ETHYL ALCOHOL 95 % SA,ETHYL,ALCOHOL 95 % SA,0
13964,CAMPHOR  SQ,CAMPHOR, SQ,0
13966,COAL TAR/ALLANTOIN  SK,COAL,TAR/ALLANTOIN  SK,0
13969,MEPHENESIN/METHYL NICOTINATE 10 %-1 % OA,MEPHENESIN/METHYL,NICOTINATE 10 %-1 % OA,0
13970,IRON/CYANOCOBALAMIN/COPPER/RNA  SJ,IRON/CYANOCOBALAMIN/COPPER/RNA, SJ,0
13971,EPHEDRINE/MEN/CAMP/CHLORBU/EUC 6-4-2MG/G OA,EPHEDRINE/MEN/CAMP/CHLORBU/EUC,6-4-2MG/G OA,0
13975,ORPHENADRINE CITRATE 30 MG/ML HV,ORPHENADRINE,CITRATE 30 MG/ML HV,0
13976,ORPHENADRINE CITRATE 100 MG TS,ORPHENADRINE,CITRATE 100 MG TS,0
13977,DEANOL 100 MG TA,DEANOL,100 MG TA,0
14008,IODINE 1 % SA,IODINE,1 % SA,0
14009,ASCORBIC ACID 150 MG TA,ASCORBIC,ACID 150 MG TA,0
14010,RACEMETHIONINE/CHOLINE BIT 200-100 MG TA,RACEMETHIONINE/CHOLINE,BIT 200-100 MG TA,0
14011,VIT B6/SAFFLOWER OIL  CA,VIT,B6/SAFFLOWER OIL  CA,0
14013,BROMPHENIRAMINE MALEATE 8 MG TS,BROMPHENIRAMINE,MALEATE 8 MG TS,0
14014,BROMPHENIRAMINE MALEATE 12 MG TS,BROMPHENIRAMINE,MALEATE 12 MG TS,0
14015,METHOCARBAMOL 500 MG TA,METHOCARBAMOL,500 MG TA,0
14016,METHOCARBAMOL 750 MG TA,METHOCARBAMOL,750 MG TA,0
14017,GUAIFENESIN/DEXTROMETHORPHAN 100-10MG/5 SL,GUAIFENESIN/DEXTROMETHORPHAN,100-10MG/5 SL,0
14018,METHOCARBAMOL/ASA 400-325 MG TA,METHOCARBAMOL/ASA,400-325 MG TA,0
14021,PHENYLEPHRINE/PPA/BR-PHENIR  SE,PHENYLEPHRINE/PPA/BR-PHENIR, SE,0
14022,PHENYLEPHRINE/PPA/BR-PHENIR 5-5-4MG TA,PHENYLEPHRINE/PPA/BR-PHENIR,5-5-4MG TA,0
14023,PHENYLEPHRINE/PPA/BR-PHENIR  TS,PHENYLEPHRINE/PPA/BR-PHENIR, TS,0
14024,CODEINE/METHOCARBAMOL/ASA 8-400-325 TA,CODEINE/METHOCARBAMOL/ASA,8-400-325 TA,0
14027,CODEINE/METHOCARBAMOL/ASA 16-400-325 TA,CODEINE/METHOCARBAMOL/ASA,16-400-325 TA,0
14067,PEPSIN/WHOLE BILE/PANCREATIN  TA,PEPSIN/WHOLE,BILE/PANCREATIN  TA,0
14097,GUAIFENESIN/CODEINE/PHENIRAMIN 3.3-7.5/5 ST,GUAIFENESIN/CODEINE/PHENIRAMIN,3.3-7.5/5 ST,0
14098,GUAIFENESIN/CODEINE/PHENIRAMIN 100-10-7.5 ST,GUAIFENESIN/CODEINE/PHENIRAMIN,100-10-7.5 ST,0
14100,DM/PHENYLEPHRINE HCL/PPA/BPM  TA,DM/PHENYLEPHRINE,HCL/PPA/BPM  TA,0
14101,GUAIFEN/PHENYLEPHRINE/PPA/BPM  SH,GUAIFEN/PHENYLEPHRINE/PPA/BPM, SH,0
14102,PHENYLEPHRINE HCL/PPA/COD/BPM  TA,PHENYLEPHRINE,HCL/PPA/COD/BPM  TA,0
14107,PHENOBARB/HYOSCY/ATROPINE/SCOP 16.2MG/5ML SE,PHENOBARB/HYOSCY/ATROPINE/SCOP,16.2MG/5ML SE,0
14137,PHENOBARB/HYOSCY/ATROPINE/SCOP 16.2 MG TA,PHENOBARB/HYOSCY/ATROPINE/SCOP,16.2 MG TA,0
14138,PHENOBARB/HYOSCY/ATROPINE/SCOP 48.6MG TS,PHENOBARB/HYOSCY/ATROPINE/SCOP,48.6MG TS,0
14168,GUAIFEN/PE/PHENYLPROP/HCOD/BPM  SH,GUAIFEN/PE/PHENYLPROP/HCOD/BPM, SH,0
14170,KAOLIN/PECTIN/BELLAD ALK  SC,KAOLIN/PECTIN/BELLAD,ALK  SC,0
14200,NEOMYCIN SULF/KAO/PEC/BELL ALK  SC,NEOMYCIN,SULF/KAO/PEC/BELL ALK  SC,0
14203,OPIUM/PECT/BELLAD ALK/ATTAPUL  CA,OPIUM/PECT/BELLAD,ALK/ATTAPUL  CA,0
14240,PEPSIN/BILE/PANCREA/BEL.ALK/PB  TA,PEPSIN/BILE/PANCREA/BEL.ALK/PB, TA,0
14245,DYPHYLLINE/POTASSIUM IODIDE  SL,DYPHYLLINE/POTASSIUM,IODIDE  SL,0
14275,MAG HYDROX/ALUMINUM HYD/SIMETH 200-225-25 SC,MAG,HYDROX/ALUMINUM HYD/SIMETH 200-225-25 SC,0
14276,MAG HYDROX/ALUMINUM HYD/SIMETH 200-200-25 TC,MAG,HYDROX/ALUMINUM HYD/SIMETH 200-200-25 TC,0
14277,PHOSPHORATED CARBO(DEXT-FRUCT)  SJ,PHOSPHORATED,CARBO(DEXT-FRUCT)  SJ,0
14279,FRAMYCETIN SULFATE 1%-10X10CM YE,FRAMYCETIN,SULFATE 1%-10X10CM YE,0
14280,DIPHENHYDRAMINE/METHAQUALONE 25MG-250MG CA,DIPHENHYDRAMINE/METHAQUALONE,25MG-250MG CA,0
14315,DIPHENHYDRAMINE/METHAQUALONE 25MG-250MG TA,DIPHENHYDRAMINE/METHAQUALONE,25MG-250MG TA,0
14350,FRAMYCETIN/GRAMICIDIN/PHENYLEP 12.5-2.5/1 AU,FRAMYCETIN/GRAMICIDIN/PHENYLEP,12.5-2.5/1 AU,0
14351,FRAMYCETIN/GRAMICID D/DEXAMETH  OA,FRAMYCETIN/GRAMICID,D/DEXAMETH  OA,0
14352,FRAMYCETIN/ESCULOSIDE/HC/DIB 10-10-5-5 OW,FRAMYCETIN/ESCULOSIDE/HC/DIB,10-10-5-5 OW,0
14388,FRAMYCETIN/ESCULOSIDE/HC/DIB 10-10-5-5 QA,FRAMYCETIN/ESCULOSIDE/HC/DIB,10-10-5-5 QA,0
14389,HYDROXYAPATITE 200 MG TA,HYDROXYAPATITE,200 MG TA,0
14391,PROT ENZYME/STOMACH CONC  HV,PROT,ENZYME/STOMACH CONC  HV,0
14392,PROT ENZYME/STOMACH CONC  TA,PROT,ENZYME/STOMACH CONC  TA,0
14393,MAG CARB/SOD BICARB/BISM SUBN  TA,MAG,CARB/SOD BICARB/BISM SUBN  TA,0
14394,ERGOTAMINE TARTRATE/CAFFEINE 1 MG-100MG TA,ERGOTAMINE,TARTRATE/CAFFEINE 1 MG-100MG TA,0
14424,BELLADONNA ALKALOIDS/PHENOBARB 50 MG TS,BELLADONNA,ALKALOIDS/PHENOBARB 50 MG TS,0
14484,ERGOTAMINE TART/BELLAD ALK/PB 0.3-0.1-20 TA,ERGOTAMINE,TART/BELLAD ALK/PB 0.3-0.1-20 TA,0
14514,ERGOTAMINE TART/BELLAD ALK/PB 0.6-0.2-40 TA,ERGOTAMINE,TART/BELLAD ALK/PB 0.6-0.2-40 TA,0
14544,ERGOLOID MESYLATES 1 MG TA,ERGOLOID,MESYLATES 1 MG TA,0
14545,CODEINE/BUTALBITAL/ASA/CAFFEIN 15-50-330 CA,CODEINE/BUTALBITAL/ASA/CAFFEIN,15-50-330 CA,0
14605,CODEINE/BUTALBITAL/ASA/CAFFEIN 30-50-330 CA,CODEINE/BUTALBITAL/ASA/CAFFEIN,30-50-330 CA,0
14665,ERGOTAMIN/CAFF/BELL ALK/P-BARB  QA,ERGOTAMIN/CAFF/BELL,ALK/P-BARB  QA,0
14666,ERGOTAMIN/CAFF/BELL ALK/P-BARB  TA,ERGOTAMIN/CAFF/BELL,ALK/P-BARB  TA,0
14667,DHE/SCOP/BARBITAL/P-BARB/BUTAL  TA,DHE/SCOP/BARBITAL/P-BARB/BUTAL, TA,0
14669,CHLORPHENIRAMINE MALEATE 8 MG TS,CHLORPHENIRAMINE,MALEATE 8 MG TS,0
14670,CHLORPHENIRAMINE MALEATE 12 MG TS,CHLORPHENIRAMINE,MALEATE 12 MG TS,0
14671,BETAMETHASONE SODIUM PHOSPHATE 1 MG TS,BETAMETHASONE,SODIUM PHOSPHATE 1 MG TS,0
14707,DEXCHLORPHENIRAMINE MALEATE 6 MG TS,DEXCHLORPHENIRAMINE,MALEATE 6 MG TS,0
14708,PERPHENAZINE/AMITRIPTYLINE HCL 2 MG-10 MG TA,PERPHENAZINE/AMITRIPTYLINE,HCL 2 MG-10 MG TA,0
14744,PERPHENAZINE/AMITRIPTYLINE HCL 4MG-10MG TA,PERPHENAZINE/AMITRIPTYLINE,HCL 4MG-10MG TA,0
14780,PERPHENAZINE/AMITRIPTYLINE HCL 2 MG-25 MG TA,PERPHENAZINE/AMITRIPTYLINE,HCL 2 MG-25 MG TA,0
14781,PERPHENAZINE/AMITRIPTYLINE HCL 4 MG-25 MG TA,PERPHENAZINE/AMITRIPTYLINE,HCL 4 MG-25 MG TA,0
14782,GENTAMICIN/BETAMETHASONE VAL 0.1 %-0.1% KA,GENTAMICIN/BETAMETHASONE,VAL 0.1 %-0.1% KA,0
14817,SULFACETAMIDE/PREDNISOLONE 10%-0.5% SN,SULFACETAMIDE/PREDNISOLONE,10%-0.5% SN,0
14819,CHLORPHENIRAM/PREDNISONE/VIT C  TA,CHLORPHENIRAM/PREDNISONE/VIT,C  TA,0
14820,NEOMYCIN SULF/SULFACETAM/PRED  OA,NEOMYCIN,SULF/SULFACETAM/PRED  OA,0
14821,HYDROCORTISONE ACETATE 50 MG/ML HV,HYDROCORTISONE,ACETATE 50 MG/ML HV,0
14822,TESTOSTERONE PROPIONATE 100 MG/ML HV,TESTOSTERONE,PROPIONATE 100 MG/ML HV,0
14824,TESTOSTERONE 100 MG/ML HV,TESTOSTERONE,100 MG/ML HV,0
14826,TESTOSTERONE ENAN/ESTRADIOL 90-4MG/ML HV,TESTOSTERONE,ENAN/ESTRADIOL 90-4MG/ML HV,0
14828,ERGOT/BELLADONNA/PHENOBARBITAL  TA,ERGOT/BELLADONNA/PHENOBARBITAL, TA,0
14901,DEXTROSE  PA,DEXTROSE, PA,0
15184,SULFADIAZINE 500 MG TA,SULFADIAZINE,500 MG TA,0
15234,FLUORIDE (SODIUM)  SO,FLUORIDE,(SODIUM)  SO,0
15235,GLUTAMIC ACID 300 MG CA,GLUTAMIC,ACID 300 MG CA,0
15268,KELP  TA,KELP, TA,0
15272,THIAMINE HCL 10 MG TA,THIAMINE,HCL 10 MG TA,0
15273,THIAMINE HCL 25 MG TA,THIAMINE,HCL 25 MG TA,0
15276,RIBOFLAVIN (VITAMIN B2) 5 MG TA,RIBOFLAVIN,(VITAMIN B2) 5 MG TA,0
15279,NIACIN 500 MG TA,NIACIN,500 MG TA,0
15280,NIACINAMIDE 500 MG TA,NIACINAMIDE,500 MG TA,0
15283,CYANOCOBALAMIN (VITAMIN B-12) 10 MCG TA,CYANOCOBALAMIN,(VITAMIN B-12) 10 MCG TA,0
15291,VITAMIN E ACETATE 1000 UNIT CA,VITAMIN,E ACETATE 1000 UNIT CA,0
15295,CALCIUM LACTATE 325 MG TA,CALCIUM,LACTATE 325 MG TA,0
15298,"SODIUM PHOSPHATE,DIBASIC 487.5 MG CA",SODIUM,"PHOSPHATE,DIBASIC 487.5 MG CA",0
15301,ALCOHOL  SL,ALCOHOL, SL,0
15302,SODIUM CHLORIDE/DEXTROSE  TA,SODIUM,CHLORIDE/DEXTROSE  TA,0
15308,ASCORBIC ACID/BIOFLAVONOIDS 500-500 MG TA,ASCORBIC,ACID/BIOFLAVONOIDS 500-500 MG TA,0
15311,"GLYCERIN/ROSE WATER,STRONGER  SL",GLYCERIN/ROSE,"WATER,STRONGER  SL",0
15314,ASCORBIC ACID/ASCORBATE SODIUM 100 MG TC,ASCORBIC,ACID/ASCORBATE SODIUM 100 MG TC,0
15315,ASCORBIC ACID/ASCORBATE SODIUM 250 MG TC,ASCORBIC,ACID/ASCORBATE SODIUM 250 MG TC,0
15316,ASCORBIC ACID/ASCORBATE SODIUM 500 MG TC,ASCORBIC,ACID/ASCORBATE SODIUM 500 MG TC,0
15324,SAL ACID/BIS SUBCARB/ZINC OX  OA,SAL,ACID/BIS SUBCARB/ZINC OX  OA,0
15325,AMMON/AMMONIA/CAMPHOR/TURP OIL  OA,AMMON/AMMONIA/CAMPHOR/TURP,OIL  OA,0
15326,EUCALYPT/ME-SAL/MENTH/GUAIA  OA,EUCALYPT/ME-SAL/MENTH/GUAIA, OA,0
15329,IODOQUINOL 650 MG TA,IODOQUINOL,650 MG TA,0
15330,SPIRONOLACT/HYDROCHLOROTHIAZID 25 MG-25MG TA,SPIRONOLACT/HYDROCHLOROTHIAZID,25 MG-25MG TA,0
15373,BENZOIN 40 % AS,BENZOIN,40 % AS,0
15374,DIPHENIDOL HCL 25 MG TA,DIPHENIDOL,HCL 25 MG TA,0
15404,PROPYLHEXEDRINE  GI,PROPYLHEXEDRINE, GI,0
15405,DEXTROAMPHETAMINE SULFATE 10 MG CS,DEXTROAMPHETAMINE,SULFATE 10 MG CS,0
15407,DEXTROAMPHETAMINE SULFATE 15 MG CS,DEXTROAMPHETAMINE,SULFATE 15 MG CS,0
15410,TRIAMTERENE/HYDROCHLOROTHIAZID 50 MG-25MG TA,TRIAMTERENE/HYDROCHLOROTHIAZID,50 MG-25MG TA,0
15446,ISOPROPAMIDE/TRIFLUOP HCL  SE,ISOPROPAMIDE/TRIFLUOP,HCL  SE,0
15482,ISOPROPAMIDE/TRIFLUOP HCL 5 MG-1 MG TA,ISOPROPAMIDE/TRIFLUOP,HCL 5 MG-1 MG TA,0
15518,ISOPROPAMIDE/TRIFLUOP HCL 7.5-2MG TA,ISOPROPAMIDE/TRIFLUOP,HCL 7.5-2MG TA,0
15554,ISOPROPAMIDE/TRIFLUOP HCL 5 MG-2 MG TA,ISOPROPAMIDE/TRIFLUOP,HCL 5 MG-2 MG TA,0
15590,ISOPROPAMIDE/PROCHLORPERAZINE  CS,ISOPROPAMIDE/PROCHLORPERAZINE, CS,0
15592,SALICYLIC ACID/COAL TAR/SULFUR  OA,SALICYLIC,ACID/COAL TAR/SULFUR  OA,0
15593,RESORCINOL/SULFUR 0.625-7.5% OA,RESORCINOL/SULFUR,0.625-7.5% OA,0
15594,BENZOCAINE/METHYLCELLULOSE  TG,BENZOCAINE/METHYLCELLULOSE, TG,0
15597,CASCARA/PPL/BILE SALT/PAP/CAP  TA,CASCARA/PPL/BILE,SALT/PAP/CAP  TA,0
15598,CAS/PANCRE/METH/CH/BOL/ARTICHK  TA,CAS/PANCRE/METH/CH/BOL/ARTICHK, TA,0
15599,IPODATE CALCIUM 3 G PP,IPODATE,CALCIUM 3 G PP,0
15600,IODIPAMIDE MEGLUMINE 52 % HV,IODIPAMIDE,MEGLUMINE 52 % HV,0
15601,IPODATE SODIUM 500 MG CA,IPODATE,SODIUM 500 MG CA,0
15602,BENDROFLUMETHIAZIDE/POT CHLOR 5 MG TA,BENDROFLUMETHIAZIDE/POT,CHLOR 5 MG TA,0
