,DIN,FullName,GenericName,BrandName,Dosage,DosageForm
3312,439274,OXYMETAZOLINE HCL 0.05 % SO,OXYMETAZOLINE HCL,Duration Nasal Spray, 0.05 % SO,DROPS
3313,439290,PPA/ACETYLSALICYLIC ACID 3.125-81MG TA,PPA/ACETYLSALICYLIC ACID,Bayer Children'S Cold Tab, 3.125-81MG TA,TABLET
3314,439304,CEFAMANDOLE NAFATE 500 MG HS,CEFAMANDOLE NAFATE,Mandol Inj, 500 MG HS,VIAL
3315,439312,CEFAMANDOLE NAFATE 2 G HS,CEFAMANDOLE NAFATE,Mandol Inj, 2 G HS,VIAL
3316,439320,CEFAMANDOLE NAFATE 1 G HS,CEFAMANDOLE NAFATE,Mandol Inj, 1 G HS,VIAL
3317,439363,DISOPYRAMIDE 150 MG CA,DISOPYRAMIDE,Rythmodan Cap, 150 MG CA,CAPSULE
3318,439673,WHITE PINE/HONEY/EUCALYPTOL  ST,WHITE PINE/HONEY/EUCALYPTOL  ST,Pin Blanc Compose Syr,,SYRUP
3319,439770,PHENYTOIN SODIUM/PHENOBARBITAL 100-30MG CA,PHENYTOIN SODIUM/PHENOBARBITAL,Dilantin W Phenobarbital, 100-30MG CA,CAPSULE
3320,439819,LOXAPINE HCL 50 MG/ML HH,LOXAPINE HCL,Loxapac Inj, 50 MG/ML HH,AMPUL
3321,440574,ERYTHROMYCIN ETHYLSUCCINATE 100 MG/5ML PD,ERYTHROMYCIN ETHYLSUCCINATE,Erythromycin Ethyl Succinate For Sus, 100 MG/5ML PD,SUSP RECON
3322,440809,ACETAMINOPHEN WITH CODEINE 325MG-15MG TA,ACETAMINOPHEN WITH CODEINE,Rounox Avec Codeine, 325MG-15MG TA,TABLET
3323,440876,CHLORPHENIRAMINE/PHENYLPROPAN 4MG-37.5MG TA,CHLORPHENIRAMINE/PHENYLPROPAN,Neo Nasol Tab, 4MG-37.5MG TA,TABLET
3324,440884,GUAIFEN SOD CIT/DM/P-EPHRIN/CP 10-5-2/10 ST,GUAIFEN SOD CIT/DM/P-EPHRIN/CP,Neo Tuss Syr, 10-5-2/10 ST,SYRUP
3325,441104,CASCARA SAGRADA  TA,CASCARA SAGRADA  TA,Bio Tab,,TABLET
3326,441147,BUFEXAMAC 5 % KA,BUFEXAMAC,Norfemac Crm, 5 % KA,CREAM (G)
3327,441155,BUFEXAMAC 5 % OA,BUFEXAMAC,Norfemac Ont, 5 % OA,OINT. (G)
3328,441295,DIENESTROL 0.01 % KW,DIENESTROL,Ortho Dienestrol Crm, 0.01 % KW,CREAM/APPL
3329,441392,AMINO ACIDS/POTASS/CAL/BICARB  TA,AMINO ACIDS/POTASS/CAL/BICARB  TA,S Dyn Chelate Tab,,TABLET
3330,441538,BENZOIN/MYRRH  SL,BENZOIN/MYRRH  SL,Tincture Of Myrrhae And Benzoin,,LIQUID
3331,441589,ZINC GLUCONATE 25 MG TA,ZINC GLUCONATE,Zinc Tab, 25 MG TA,TABLET
3332,441724,OXTRIPHYLLINE 100 MG TA,OXTRIPHYLLINE,Apo Oxtriphylline Tab, 100 MG TA,TABLET
3333,442100,DM/PHENYLEPHRINE HCL/DIPH-PYRA  SL,DM/PHENYLEPHRINE HCL/DIPH-PYRA  SL,Biohisdex Dm Decongestant,,LIQUID
3334,442224,CHLORPHENIRAMINE/PHENYLPROPAN 4MG-37.5MG CS,CHLORPHENIRAMINE/PHENYLPROPAN,Cold Cap, 4MG-37.5MG CS,CAPSULE ER
3335,442275,THEOPHYLLINE ANHYDROUS 100 MG CA,THEOPHYLLINE ANHYDROUS,Somophyllin-T, 100 MG CA,CAPSULE
3336,442283,THEOPHYLLINE ANHYDROUS 200 MG CA,THEOPHYLLINE ANHYDROUS,Somophyllin-T, 200 MG CA,CAPSULE
3337,442291,THEOPHYLLINE ANHYDROUS 250 MG CA,THEOPHYLLINE ANHYDROUS,Somophyllin-T, 250 MG CA,CAPSULE
3338,442437,TRIMIPRAMINE MALEATE 75 MG CA,TRIMIPRAMINE MALEATE,Surmontil, 75 MG CA,CAPSULE
3339,442968,BENZOYL PEROXIDE 5 % KA,BENZOYL PEROXIDE,Clearasil Daily Clear Acne Treatment Cream Bp Plus, 5 % KA,CREAM (G)
3340,443115,MAG HYDROX/SOD BICARB/TARTA AC  PE,MAG HYDROX/SOD BICARB/TARTA AC  PE,Magnesia S Pellegrino Type Mmmm Effervescent,,POWD EFFER
3341,443131,TRIAZOLAM 0.5 MG TA,TRIAZOLAM,Halcion Tab, 0.5 MG TA,TABLET
3342,443158,TRIAZOLAM 0.25 MG TA,TRIAZOLAM,Halcion, 0.25 MG TA,TABLET
3343,443174,PINDOLOL 10 MG TA,PINDOLOL,Visken, 10 MG TA,TABLET
3344,443182,IBUPROFEN 200 MG CA,IBUPROFEN,Amersol Cap, 200 MG CA,CAPSULE
3345,443190,IBUPROFEN 300 MG CA,IBUPROFEN,Amersol Cap, 300 MG CA,CAPSULE
3346,443204,IBUPROFEN 400 MG CA,IBUPROFEN,Amersol Cap, 400 MG CA,CAPSULE
3347,443220,COLLOIDAL OATMEAL  SQ,COLLOIDAL OATMEAL  SQ,Aveeno Therapeutic Bath + Shower Oil,,OIL
3348,443336,ZINC GLUCONATE 50 MG TA,ZINC GLUCONATE,Zinc Tab, 50 MG TA,TABLET
3349,443387,CODEINE/METHOCARBAMOL/ASA 32-400-325 TA,CODEINE/METHOCARBAMOL/ASA,Robaxisal C1/2 Tab, 32-400-325 TA,TABLET
3350,443395,VIT C/VIT E ACET/VIT B12  SL,VIT C/VIT E ACET/VIT B12  SL,Blend Tone,,LIQUID
3351,443409,VITAMIN E 1.5 UNIT/1 SL,VITAMIN E,Vitamine E Panax Ginseng Et Gelee Royale, 1.5 UNIT/1 SL,LIQUID
3352,443646,GLYCERIN/WITCH HAZEL LEAF  ET,GLYCERIN/WITCH HAZEL LEAF  ET,Tucks,,MED. PAD
3353,443689,ACETYLSALICYLIC ACID/CAFFEINE 375-30MG TA,ACETYLSALICYLIC ACID/CAFFEINE,Arco Pain Tab, 375-30MG TA,TABLET
3354,443786,TETRACAINE HCL/BENZOCAINE 2%-18% SL,TETRACAINE HCL/BENZOCAINE,Zap Liquid, 2%-18% SL,LIQUID
3355,443794,TRETINOIN 0.05 % KA,TRETINOIN,Retin-A, 0.05 % KA,CREAM (G)
3356,443816,TRETINOIN 0.025 % JG,TRETINOIN,Retin-A, 0.025 % JG,GEL (GRAM)
3357,443824,AMCINONIDE 0.1 % KA,AMCINONIDE,Cyclocort Crm, 0.1 % KA,CREAM (G)
3358,443832,VALPROIC ACID (AS SODIUM SALT) 250 MG/5ML SJ,VALPROIC ACID (AS SODIUM SALT),Depakene, 250 MG/5ML SJ,SOLUTION
3359,443840,VALPROIC ACID 250 MG CA,VALPROIC ACID,Depakene, 250 MG CA,CAPSULE
3360,443948,OXYCODONE HCL 10 MG TA,OXYCODONE HCL,Supeudol, 10 MG TA,TABLET
3361,444111,CASCARA SAGRADA/PPL/WHOLE BILE  TA,CASCARA SAGRADA/PPL/WHOLE BILE  TA,Formula C1 Tab,,TABLET
3362,444146,CASCARA SAGRADA/HERBAL DRUGS  TA,CASCARA SAGRADA/HERBAL DRUGS  TA,Formule C5 Tab,,TABLET
3363,444316,LACTULOSE 10 G/15 ML SJ,LACTULOSE,Cephulac, 10 G/15 ML SJ,SOLUTION
3364,444383,NYSTATIN 100000/G PA,NYSTATIN,Mycostatin Top Pwr, 100000/G PA,POWDER
3365,444472,"VIT BCOMP,C/FOLIC ACID/ZINC  TA","VIT BCOMP,C/FOLIC ACID/ZINC  TA",Nutri Fem W Folic Acid Zinc Tab,,TABLET
3366,444758,BENZOIC/CHLOROBUTANOL/EUCALYP  TL,BENZOIC/CHLOROBUTANOL/EUCALYP  TL,Larynsol Loz,,LOZENGE
3367,444774,TERBUTALINE SULFATE 0.25 MG AH,TERBUTALINE SULFATE,Bricanyl Spacer, 0.25 MG AH,AER W/ADAP
3368,444782,AMINO ACIDS 7 %/ELECTROLYTES 7 % HM,AMINO ACIDS ,Vamin N Inj, 7 %/ELECTROLYTES 7 % HM,IV SOLN
3369,444898,MANNITOL 5 % SW,MANNITOL,Resectisol Ir Liq, 5 % SW,IRRIG SOLN
3370,444901,SORBITOL SOLUTION 3.3 % SW,SORBITOL SOLUTION,Sorbitol Ir Liq, 3.3 % SW,IRRIG SOLN
3371,445053,POT GUAIACO/SODIUM SALICYLATE  SL,POT GUAIACO/SODIUM SALICYLATE  SL,Diana Drops,,LIQUID
3372,446416,NIKETHAMIDE 25 % HH,NIKETHAMIDE,Coramine Inj, 25 % HH,AMPUL
3373,446432,ASCORBATE CALCIUM 500 MG TA,ASCORBATE CALCIUM,Calcium Ascorbate Tab, 500 MG TA,TABLET
3374,446475,DANTHRON/DOCUSATE SODIUM 50 MG-60MG TA,DANTHRON/DOCUSATE SODIUM,Doss Obstipatic Tab, 50 MG-60MG TA,TABLET
3375,446483,FERROUS FUMARATE 300(100)MG CA,FERROUS FUMARATE,Palafer Cap, 300(100)MG CA,CAPSULE
3376,446564,"INSULIN REGULAR,BEEF-PORK 100/ML HV","INSULIN REGULAR,BEEF-PORK",Iletin Insulin Regular, 100/ML HV,VIAL
3377,446572,"INSULIN ISOPHANE NPH,BF-PK 100/ML HV","INSULIN ISOPHANE NPH,BF-PK",Iletin Nph Insulin, 100/ML HV,VIAL
3378,446580,"INSULIN ZINC,BEEF-PORK 100/ML HV","INSULIN ZINC,BEEF-PORK",Iletin Lente Insulin Inj, 100/ML HV,VIAL
3379,446599,"INSULIN ZINC EXTENDED,BF-PK 100/ML HV","INSULIN ZINC EXTENDED,BF-PK",Iletin Ultralente Insulin Inj, 100/ML HV,VIAL
3380,446602,"INSULIN ZINC PROMPT,BF-PK 100/ML HV","INSULIN ZINC PROMPT,BF-PK",Iletin Semilente Insulin Inj, 100/ML HV,VIAL
3381,446610,"INSULIN PROTAMINE ZN,BF-PK 100/ML HV","INSULIN PROTAMINE ZN,BF-PK",Iletin Protamine Zinc Inj, 100/ML HV,VIAL
3382,446718,QUININE BISULFATE 6 % JG,QUININE BISULFATE,Dentojel, 6 % JG,GEL (GRAM)
3383,446807,DANTHRON/DOCUSATE SODIUM 50 MG-60MG CA,DANTHRON/DOCUSATE SODIUM,Regulex D Cap, 50 MG-60MG CA,CAPSULE
3384,446955,TRICLOSAN 0.3 % EE,TRICLOSAN,Lavamen Sop, 0.3 % EE,LIQ. SOAP
3385,447056,FLUORIDE (SODIUM) 0.2 % SA,FLUORIDE (SODIUM),Concentrated Fluoride Orl Rinse, 0.2 % SA,SOLUTION
3386,447242,ZINC HVP CHELATE 50 MG TA,ZINC HVP CHELATE,Zinc Gluconate Tab, 50 MG TA,TABLET
3387,447269,"MULTIVITAMIN,THER AND MINERALS  TA","MULTIVITAMIN,THER AND MINERALS  TA",Mega Forte Tab,,TABLET
3388,449172,ANETHOLE TRITHIONE 12.5 MG TA,ANETHOLE TRITHIONE,Sulfarlem Tab, 12.5 MG TA,TABLET
3389,449628,FENFLURAMINE HCL 60 MG CS,FENFLURAMINE HCL,Ponderal Pacaps, 60 MG CS,CAPSULE ER
3390,449636,CHOLINE SALICYL/MAG SALICYLATE 500 MG TA,CHOLINE SALICYL/MAG SALICYLATE,Trilisate Tab, 500 MG TA,TABLET
3391,449741,M.SALICYLATE/MENTHOL/COAL TAR  SK,M.SALICYLATE/MENTHOL/COAL TAR  SK,S J Liniment,,LOTION
3392,449768,HYDROCORT/SAL ACID/C-T/SULFUR 1-2-4-3% KA,HYDROCORT/SAL ACID/C-T/SULFUR,Sterex Crm Plus, 1-2-4-3% KA,CREAM (G)
3393,450596,KNO3/ALOE/MAG/BEARBERRY LEAF  TA,KNO3/ALOE/MAG/BEARBERRY LEAF  TA,Diurenal Tab,,TABLET
3394,451193,TIMOLOL MALEATE 0.25 % SO,TIMOLOL MALEATE,Timoptic, 0.25 % SO,DROPS
3395,451207,TIMOLOL MALEATE 0.5 % SO,TIMOLOL MALEATE,Timoptic, 0.5 % SO,DROPS
3396,451266,VITAMIN B COMPLEX/FOLIC ACID 10 MG TS,VITAMIN B COMPLEX/FOLIC ACID,Mega B, 10 MG TS,TABLET ER
3397,451509,MORPHINE HCL 10 MG/ML SJ,MORPHINE HCL,Morphine Tct, 10 MG/ML SJ,SOLUTION
3398,451606,OPIUM/BELLADONNA ALKALOIDS 60 MG-15MG QA,OPIUM/BELLADONNA ALKALOIDS,Opium And Belladonna Sup, 60 MG-15MG QA,SUPP.RECT
3399,451614,EPHEDRINE/ZINC OXIDE/BENZALKON  QA,EPHEDRINE/ZINC OXIDE/BENZALKON  QA,Hemoral Sup,,SUPP.RECT
3400,451665,AMINOPHYLLINE 250 MG QA,AMINOPHYLLINE,Corophyllin Sup, 250 MG QA,SUPP.RECT
3401,451673,AMINOPHYLLINE 500 MG QA,AMINOPHYLLINE,Corophyllin Sup, 500 MG QA,SUPP.RECT
3402,451738,ACETYLSALICYLIC ACID 150 MG QA,ACETYLSALICYLIC ACID,Sal Infant Sup, 150 MG QA,SUPP.RECT
3403,451770,HOMATP ME-BR/PHENOBARBITAL 0.3MG-15MG TA,HOMATP ME-BR/PHENOBARBITAL,Neuro Spasex Infant, 0.3MG-15MG TA,TABLET
3404,451827,ASCORBIC ACID 500 MG/5ML ST,ASCORBIC ACID,Frubiose, 500 MG/5ML ST,SYRUP
3405,452068,SINCALIDE 5 MCG HS,SINCALIDE,Kinevac Inj, 5 MCG HS,VIAL
3406,452092,DIPYRIDAMOLE 75 MG TA,DIPYRIDAMOLE,Persantine Tab, 75 MG TA,TABLET
3407,452106,DIPYRIDAMOLE 100 MG TA,DIPYRIDAMOLE,Persantine Tab, 100 MG TA,TABLET
3408,452114,ECONAZOLE NITRATE 150 MG QC,ECONAZOLE NITRATE,Ecostatin Vag Ovules, 150 MG QC,SUPP.VAG
3409,452246,MULTIVITAMIN/IODINE  TA,MULTIVITAMIN/IODINE  TA,Iodine Multivitamin Formula,,TABLET
3410,452270,KOLA/B COMP/B5/S.GINSENG/HC113 200MG-15MG SL,KOLA/B COMP/B5/S.GINSENG/HC113,Super Energex Plus, 200MG-15MG SL,LIQUID
3411,452483,NITROFURANTOIN MACROCRYSTAL 100 MG CA,NITROFURANTOIN MACROCRYSTAL,Macrodantin Cap, 100 MG CA,CAPSULE
3412,452491,NITROFURANTOIN MACROCRYSTAL 25 MG CA,NITROFURANTOIN MACROCRYSTAL,Macrodantin Cap, 25 MG CA,CAPSULE
3413,452505,NITROFURANTOIN MACROCRYSTAL 50 MG CA,NITROFURANTOIN MACROCRYSTAL,Macrodantin Cap, 50 MG CA,CAPSULE
3414,452513,DANTROLENE SODIUM 25 MG CA,DANTROLENE SODIUM,Dantrium Cap, 25 MG CA,CAPSULE
3415,452521,DANTROLENE SODIUM 100 MG CA,DANTROLENE SODIUM,Dantrium Cap, 100 MG CA,CAPSULE
3416,452602,SODIUM BICARBONATE/RHUBARB  SL,SODIUM BICARBONATE/RHUBARB  SL,Formula L5,,LIQUID
3417,452637,DIPHENHYDRAMINE/TRIPELENNAMINE  JG,DIPHENHYDRAMINE/TRIPELENNAMINE  JG,Di Delamine Gel,,GEL (GRAM)
3418,452696,BISMUTH SUBGALLATE 200 MG TC,BISMUTH SUBGALLATE,Devrom Chew Tab, 200 MG TC,TAB CHEW
3419,452750,B-CAINE/CPYRD/LICOR/ANISE  TL,B-CAINE/CPYRD/LICOR/ANISE  TL,Panaflin Pastilles With Herbs,,LOZENGE
3420,452777,VITAMIN E MIXED 275 UNIT CA,VITAMIN E MIXED,Vitamin E, 275 UNIT CA,CAPSULE
3421,453013,BETHANECHOL CHLORIDE 50 MG TA,BETHANECHOL CHLORIDE,Duvoid Tab, 50 MG TA,TABLET
3422,453110,C-T/ME-SAL/JUN/B-ZOIN/ZINC/SUL  OA,C-T/ME-SAL/JUN/B-ZOIN/ZINC/SUL  OA,Pommade Parnel,,OINT. (G)
3423,453382,BENZOCAINE/CETYLPYRIDINIUM CHL 7.5-1.5 TL,BENZOCAINE/CETYLPYRIDINIUM CHL,Life Throat Loz, 7.5-1.5 TL,LOZENGE
3424,453390,CETYLPYRIDINIUM CHLORIDE  TL,CETYLPYRIDINIUM CHLORIDE  TL,Life Throat Loz Menthol Flavour,,LOZENGE
3425,453617,ERYTHROMYCIN ETHYLSUCCINATE 400 MG/5ML PD,ERYTHROMYCIN ETHYLSUCCINATE,Ees-400, 400 MG/5ML PD,SUSP RECON
3426,453773,"HEPARIN SODIUM,PORCINE 5000/ML HV","HEPARIN SODIUM,PORCINE",Heparin Leo, 5000/ML HV,VIAL
3427,453781,"HEPARIN SODIUM,PORCINE 25000/ML HV","HEPARIN SODIUM,PORCINE",Heparin Leo Inj, 25000/ML HV,VIAL
3428,454060,PHENOL LIQUID  OA,PHENOL LIQUID  OA,Rawleigh Antiseptic Salve,,OINT. (G)
3429,454133,CALCIUM#4/MAG OX/C/D3/PHOSPHOR 250MG-133 TA,CALCIUM#4/MAG OX/C/D3/PHOSPHOR,Neo Cal Tab, 250MG-133 TA,TABLET
3430,454273,ACETAMINOPHEN/CAFFEINE 325-10MG TA,ACETAMINOPHEN/CAFFEINE,Melabin Tab, 325-10MG TA,TABLET
3431,454362,ASCORBIC ACID 1500 MG TS,ASCORBIC ACID,Vitamin C Srt, 1500 MG TS,TABLET ER
3432,454451,ESTRONE 5 MG/ML HV,ESTRONE,Femogen Forte Inj, 5 MG/ML HV,VIAL
3433,454508,GUAIFENESIN/THEOPHYLLINE 100-100 SL,GUAIFENESIN/THEOPHYLLINE,Acet Am Expectorant, 100-100 SL,LIQUID
3434,454559,THEOPHYLLINE/PSEUDOEPHED/PYRIL  TA,THEOPHYLLINE/PSEUDOEPHED/PYRIL  TA,Primatene Tab,,TABLET
3435,454702,FLUORIDE (SODIUM) 0.02 % SA,FLUORIDE (SODIUM),Listermint W Fluoride Mwh, 0.02 % SA,SOLUTION
3436,454753,GLYBURIDE 2.5 MG TA,GLYBURIDE,Diabeta Tab, 2.5 MG TA,TABLET
3437,454796,FENOTEROL HYDROBROMIDE 2.5 MG TA,FENOTEROL HYDROBROMIDE,Berotec Tab, 2.5 MG TA,TABLET
3438,454907,PARENTERAL AMINO ACID 10% NO.2 10 % HM,PARENTERAL AMINO ACID ,Aminosyn, 10% NO.2 10 % HM,IV SOLN
3439,455067,ACETIC ACID 0.25 % SW,ACETIC ACID,Acetic Acid Irrigation, 0.25 % SW,IRRIG SOLN
3440,455326,BENZOCAINE/ARNICA  SL,BENZOCAINE/ARNICA  SL,Pain Ease,,LIQUID
3441,455334,METHYL SALICYLATE 10 % SL,METHYL SALICYLATE,Rubless Liniment, 10 % SL,LIQUID
3442,455377,VITAMIN B COMPLEX/FOLIC ACID 0.4 MG TA,VITAMIN B COMPLEX/FOLIC ACID,Vitamin B Complex Tab, 0.4 MG TA,TABLET
3443,455407,VITAMIN E MIXED 100 UNIT CA,VITAMIN E MIXED,Vitamin E Cap, 100 UNIT CA,CAPSULE
3444,455504,ARNICA  SM,ARNICA  SM,Arnica Tct,,MOUTHWASH
3445,455857,CLOFIBRATE 1 G CA,CLOFIBRATE,Atromid S Cap, 1 G CA,CAPSULE
3446,455865,CISPLATIN 10 MG HS,CISPLATIN,Platinol Inj, 10 MG HS,VIAL
3447,455881,BACLOFEN 10 MG TA,BACLOFEN,Lioresal Tab, 10 MG TA,TABLET
3448,456233,AMYLASE/LIPASE/PROTE/CELL/BILE 30K-8K-30K CA,AMYLASE/LIPASE/PROTE/CELL/BILE,Cotazym, 30K-8K-30K CA,CAPSULE
3449,456403,HYDROCORT/SAL ACID/C-T/SULFUR 1-2-4-3% SK,HYDROCORT/SAL ACID/C-T/SULFUR,Sterex Lot Plus, 1-2-4-3% SK,LOTION
3450,456497,BENZOCAINE 4 MG TG,BENZOCAINE,Ban Smoke Gum, 4 MG TG,GUM
3451,456535,FAT EMULSIONS 10 % SU,FAT EMULSIONS,Nutralipid, 10 % SU,EMULSION
3452,456543,CLOBETASONE BUTYRATE 0.05 % KA,CLOBETASONE BUTYRATE,Eumovate Crm, 0.05 % KA,CREAM (G)
3453,456551,CLOBETASONE BUTYRATE 0.05 % OA,CLOBETASONE BUTYRATE,Eumovate Ont, 0.05 % OA,OINT. (G)
3454,456578,PROPRANOLOL HCL 120 MG TA,PROPRANOLOL HCL,Inderal Tab, 120 MG TA,TABLET
3455,456608,CAMPHOR/GUAIACOL/EUCALYPTOL  HV,CAMPHOR/GUAIACOL/EUCALYPTOL  HV,Demo Cineol Inj,,VIAL
3456,456705,PHENYLEPHRINE/ACETAMIN/CP/CAFF  TA,PHENYLEPHRINE/ACETAMIN/CP/CAFF  TA,Dristan Af Plus Tab,,TABLET
3457,456764,LACTIC ACID  SK,LACTIC ACID  SK,Phygiene,,LOTION
3458,456888,SULINDAC 150 MG TA,SULINDAC,Clinoril Tab, 150 MG TA,TABLET
3459,457299,EPHEDRINE/BIS SCB/B-CAINE/ZINC  QA,EPHEDRINE/BIS SCB/B-CAINE/ZINC  QA,Thunas Pile Sup,,SUPP.RECT
3460,457345,SODIUM BORATE/BORIC ACID  SO,SODIUM BORATE/BORIC ACID  SO,Thunas Eye Drops,,DROPS
3461,458155,HYDROCORTISONE ACETATE 1 % KA,HYDROCORTISONE ACETATE,Hyderm Crm, 1 % KA,CREAM (G)
3462,458163,TOLNAFTATE 1 % KA,TOLNAFTATE,Pitrex Crm, 1 % KA,CREAM (G)
3463,458422,SODIUM SALICYLATE 325 MG TA,SODIUM SALICYLATE,Dodds Pills, 325 MG TA,TABLET
3464,458465,MAGNESIUM CHLORIDE 11.85MG/5 SL,MAGNESIUM CHLORIDE,Magnolex, 11.85MG/5 SL,LIQUID
3465,458511,CALCIUM HYDROXIDE/CALA/ZINC OX  SK,CALCIUM HYDROXIDE/CALA/ZINC OX  SK,Calamine Lotion Usp,,LOTION
3466,458570,CLEMASTINE FUMARATE 0.67MG/5ML ST,CLEMASTINE FUMARATE,Tavist Syrup, 0.67MG/5ML ST,SYRUP
3467,460680,CASCARA SAGRADA/SENNA/RHUBARB  TA,CASCARA SAGRADA/SENNA/RHUBARB  TA,Herbalax Tab,,TABLET
3468,460699,TANNIC ACID/HERBAL DRUGS  SL,TANNIC ACID/HERBAL DRUGS  SL,Extrait De Fraises,,LIQUID
3469,460761,TRIAMCINOLONE ACETONIDE 10 MG/ML HV,TRIAMCINOLONE ACETONIDE,Kenalog, 10 MG/ML HV,VIAL
3470,460907,OXYGEN/CARBON DIOXIDE 93 %-7 % GA,OXYGEN/CARBON DIOXIDE,Carbon Dioxide In Oxygen Mixture, 93 %-7 % GA,GAS
3471,460923,NITROUS OXIDE/OXYGEN 50 %-50 % GA,NITROUS OXIDE/OXYGEN,Nitrous Oxide In Oxygen, 50 %-50 % GA,GAS
3472,460982,THEOPHYLLINE ANHYDROUS 100 MG TM,THEOPHYLLINE ANHYDROUS,Theo-Dur, 100 MG TM,TAB ER 12H
3473,460990,THEOPHYLLINE ANHYDROUS 200 MG TM,THEOPHYLLINE ANHYDROUS,Theo-Dur, 200 MG TM,TAB ER 12H
3474,461008,THEOPHYLLINE ANHYDROUS 300 MG TM,THEOPHYLLINE ANHYDROUS,Theo-Dur, 300 MG TM,TAB ER 12H
3475,461059,TETRACAINE/BENZOC/BENZET/B.ALC  AS,TETRACAINE/BENZOC/BENZET/B.ALC  AS,Burnspray,,SPRAY
3476,461547,MAGNESIUM CHLORIDE 480 MG/ML SL,MAGNESIUM CHLORIDE,Actif, 480 MG/ML SL,LIQUID
3477,461555,ALUMINUM CHLORIDE 6.25 % SA,ALUMINUM CHLORIDE,Drysol Mild, 6.25 % SA,SOLUTION
3478,461636,GLUTAMIC ACID 450 MG TA,GLUTAMIC ACID,Glutamic Acid Hcl Tab, 450 MG TA,TABLET
3479,461687,THEOPHYLLINE ANHYDROUS 250 MG TA,THEOPHYLLINE ANHYDROUS,Theolair, 250 MG TA,TABLET
3480,461695,THEOPHYLLINE ANHYDROUS 250 MG TM,THEOPHYLLINE ANHYDROUS,Theolair Sr, 250 MG TM,TAB ER 12H
3481,461822,ANETHOLE TRITHIONE 25 MG TA,ANETHOLE TRITHIONE,Sialor Tab, 25 MG TA,TABLET
3482,461830,ESTRAMUSTINE PHOSPHATE SODIUM 140 MG CA,ESTRAMUSTINE PHOSPHATE SODIUM,Emcyt Cap, 140 MG CA,CAPSULE
3483,462799,METHENAM/CORN/BICARB/BUC/COUCH  SL,METHENAM/CORN/BICARB/BUC/COUCH  SL,Urinatone Balsam,,LIQUID
3484,463205,METRIZAMIDE 3.75 G HS,METRIZAMIDE,Amipaque Inj, 3.75 G HS,VIAL
3485,463213,METRIZAMIDE 6.75G HS,METRIZAMIDE,Amipaque Inj, 6.75G HS,VIAL
3486,463221,MITOTANE 500 MG TA,MITOTANE,Lysodren, 500 MG TA,TABLET
3487,463248,INDOMETHACIN 75 MG CS,INDOMETHACIN,Indocid Sr, 75 MG CS,CAPSULE ER
3488,463256,NADOLOL 80 MG TA,NADOLOL,Corgard Tab, 80 MG TA,TABLET
3489,463302,ZINC OXIDE/TRICLOSAN  KA,ZINC OXIDE/TRICLOSAN  KA,Boots Baby Crm,,CREAM (G)
3490,463418,ASCORBIC ACID 200 MG/ML HV,ASCORBIC ACID,Ascorbic Acid Inj, 200 MG/ML HV,VIAL
3491,463442,RIBOFLAVIN 5-PHOSPHATE SOD(B2) 50 MG/ML HV,RIBOFLAVIN ,Riboflavin Inj, 5-PHOSPHATE SOD(B2) 50 MG/ML HV,VIAL
3492,463450,NIACIN 100 MG/ML HV,NIACIN,Niacin Inj, 100 MG/ML HV,VIAL
3493,463469,PYRIDOXINE HCL (VITAMIN B6) 100 MG/ML HV,PYRIDOXINE HCL (VITAMIN B6),Pyridoxine Hcl Inj, 100 MG/ML HV,VIAL
3494,464309,"SOD PHOS,M-B/AMMONIUM/NA PYROP 500 MG TA","SOD PHOS,M-B/AMMONIUM/NA PYROP",Phos Phaid Tab, 500 MG TA,TABLET
3495,464317,SENNA/PSYLLIUM SEED  PA,SENNA/PSYLLIUM SEED  PA,Prodiem Pwr,,POWDER
3496,464538,THYMOL/CAMPHOR/MENTHOL/EUCALYP  SL,THYMOL/CAMPHOR/MENTHOL/EUCALYP  SL,Vaporisateur Medicamente,,LIQUID
3497,464651,SULFADIAZINE/UNDECYL/IODOQUIN  KA,SULFADIAZINE/UNDECYL/IODOQUIN  KA,Ovoquinol Crm Vaginale,,CREAM (G)
3498,464775,DOCUSATE SODIUM 10 MG/ML SO,DOCUSATE SODIUM,Colace Drops, 10 MG/ML SO,DROPS
3499,464783,DOCUSATE SODIUM 60 MG/15ML ST,DOCUSATE SODIUM,Colace Syrup, 60 MG/15ML ST,SYRUP
3500,464791,ESTRADIOL 1 MG TA,ESTRADIOL,Estrace Tab, 1 MG TA,TABLET
3501,464805,ESTRADIOL 2 MG TA,ESTRADIOL,Estrace Tab, 2 MG TA,TABLET
3502,464813,POTASSIUM CHLORIDE 25 MEQ PP,POTASSIUM CHLORIDE,K Lyte Cl Pwr, 25 MEQ PP,PACKET
3503,464872,CASANTHRANOL/DOCUSATE SODIUM 30MG-100MG CA,CASANTHRANOL/DOCUSATE SODIUM,Pericolace Cap, 30MG-100MG CA,CAPSULE
3504,464880,CHOLESTYRAMINE (WITH SUGAR) 4G/9G JL,CHOLESTYRAMINE (WITH SUGAR),Questran Pwr, 4G/9G JL,POWD PACK
3505,464910,ISOXSUPRINE HCL 10 MG/2 ML HH,ISOXSUPRINE HCL,Vasodilan Inj, 10 MG/2 ML HH,AMPUL
3506,464929,ISOXSUPRINE HCL 20 MG TA,ISOXSUPRINE HCL,Vasodilan Tab, 20 MG TA,TABLET
